AACTAY	antarctica
AALTJ	aaltje
AAMYNA	aamina
AARVN	aaron
ABA	aba
ABAD	abad
ABADA	abad
ABADHBY	abudhabi
ABAJA	azerbaijan
ABAR	akbar
ABCR	abcher
ABDJA	abidjan
ABDLRHMAN	abdalrahman
ABDVN	aberdeen
ABH	abhay
ABHAY	abhay
ABHY	abhay
ABLA	abella
ABL	abel
ABL	abel
ABLH	abdullah
ABLHYD	adelheid
ABLJ	abeltje
ABLT	ablett
ABLTJ	abeltje
ABLY	abley
ABLYSN	abelson
ABND	abend
ABNR	abner
'ABR	aabar
ABR	aberg
ABRAHAM	abraham
ABRAHYM	abraham
ABRAHYM	abraham
ABRAM	abram
ABRAMSVN	abramson
ABRAPT	abrupt
ABRAYT	abstract
ABRBAC	eberbach
ABRG	aberg
ABRG	aberg
ABRKRVMBY	abercrombie
ABRL	amberle
ABRLY	amberle
ABRMSKY	obremski
ABRT	abrupt
ABRT	abrupt
ABRVTR	abrupt
ABRY	abery
ABRY	abery
ABRYN	asbrink
ABRYNY	abernathy
ABSTGARTN	obstgarten
ABST	abstract
ABSTRKT	abstract
ABT	abbot
ABTYN	abtine
ABV	abe
ABVBA	aboba
ABVDBY	abudhabi
ABVDHABY	abudhabi
ABVHBYB	abudhabi
ABVLYN	abolin
ABVRYMH	abercrombie
ABVT	abbot
ABVT	abbot
ABVTSMYT	abbotsmith
ABYA	abyan
ABYAB	abiab
ABY	abby
ABY	abby
ABYAD	abiad
ABYAN	abyan
ABYD	abend
ABY	abby
ABYL	abel
ABYLAK	abdalmalik
ABYNA	abyssinia
ABYNGM	albinger
ABYNGN	abyssinian
ACDL	archdale
AC	ac
ACR	accra
ACRNAR	achernar
ACTY	acton
ACTYH	arctic
ACY	ascoly
ACYLS	aeschylus
ACYSVN	acheson
ACYT	acosta
ADAB	adab
ADAM	adam
ADAMV	adamo
ADANA	adana
ADAN	adan
ADANL	adan
ADARA	adhara
ADB	adab
ADBRG	anderberg
ADGRYNGLND	adgeringelant
ADGRYNGLNT	adgeringelant
ADGYNGTVN	edgington
ADH	adhara
ADKAK	adisak
ADKK	adik
ADKRYK	adirondack
ADKVK	adik
ADKYNZ	adkins
ADKYRK	oudekirk
ADLA	adela
'ADL	adel
ADL	adel
ADLARDV	adelardo
ADLAYD	adelaide
ADLAYD	adelaide
ADLHYD	adelheid
ADLMA	adalma
ADL	adel
ADLR	adler
ADLSVN	adelson
ADLY	ardley
ADMVND	edmond
ADMVNDS	edmonds
ADMVNDZ	edmond
ADMVNZ	adametz
ADMYRALN	admiralen
ADMYRALZ	admiral
ADMYSTVN	edmiston
ADNAMS	adnams
ADNAMZ	adnams
ADNBRAG	aldebaran
ADNBRG	anderberg
ADNBRV	adventure
ADNBRVG	edenborough
ADNBVRG	anderberg
ADRY	audrey
ADRY	audrey
ADRYANA	adriana
ADRYAN	adrian
ADRYANS	adrianas
ADRYN	adrian
ADRYNKLNT	adgeringelant
ADRYNS	aldrins
ADRYNY	adriane
ADRYNY	adriane
ADRYS	audreys
ADSAL	adusumalli
ADST	adsett
ADSVN	addison
ADT	adit
ADVARD	adelardo
ADVARD	adelardo
ADVARDSN	edwardsson
ADVART	almudevar
ADVLF	adolf
ADVLFSVN	adolfsson
ADVLF	adolf
ADVNCR	adventure
ADVNL	adgeringelant
ADVNYS	adventist
ADVSVMALY	adusumalli
ADVVART	almudevar
ADY	addy
ADY	addy
ADY	addy
ADY	addy
ADY	addy
ADYH	adolph
ADYK	adik
ADYKS	addicks
'ADYL	adel
ADYL	adel
ADYLRD	adelardo
ADYNA	adina
ADYNGTVN	addington
ADYNGTVN	addington
ADYS	andys
ADYSAK	adisak
ADYSVN	addison
ADYT	adit
AFA	afa
AFAF	afaf
AFRA	afra
AFRDYT	alfredo
AFRVDYT	alfredo
AFTAB	aftab
AFV	afif
AFVRYL	argyle
AFYCART	aphichart
AFYF	afif
AFYGTN	afghanistan
AFYNGTN	alington
AFYS	afros
AFYSR	ayrshire
AFYVN	afioun
AFZAL	afzal
AFZL	afzal
AGALY	agali
AGAS	agass
AGATY	agate
AGBRN	agsorn
AGBVRN	ogborn
AG	ag
AGLSTVN	eaglestone
AGMN	agamemnon
AGMVZ	adametz
AGNDY	agndie
AGNV	aganovic
AGNVYK	aganovic
AGPYAN	agopian
AGR	agra
AGRAVALA	agrawala
AGRN	agren
AGRTN	agren
AGRTVN	agren
