AACTAY	actaeon
AALTJ	aaltje
AAMYNA	aamina
AARVN	aaron
ABA	aba
ABAD	abad
ABADA	awadia
ABADHBY	abudhabi
ABAJA	abuja
ABAR	aabar
ABCR	abcher
ABDJA	abidjan
ABDLRHMAN	abdulrahman
ABDVN	labdon
ABH	abe
ABHAY	abhay
ABHY	abhay
ABLA	abella
ABL	abel
ABL	abel
ABLH	able
ABLHYD	adelheid
ABLJ	abeltje
ABLT	ablett
ABLTJ	abeltje
ABLY	abley
ABLYSN	abelson
ABND	abend
ABNR	abner
'ABR	aabar
ABR	aubrie
ABRAHAM	abraham
ABRAHYM	abraham
ABRAHYM	abraham
ABRAM	abram
ABRAMSVN	abramson
ABRAPT	abrupt
ABRAYT	galbraith
ABRBAC	eberbach
ABRG	aberg
ABRG	aberg
ABRKRVMBY	abercrombie
ABRL	amberle
ABRLY	amberle
ABRMSKY	obremski
ABRT	abrupt
ABRT	abrupt
ABRVTR	oberreuter
ABRY	abery
ABRY	abery
ABRYN	cabrini
ABRYNY	cabrini
ABSTGARTN	obstgarten
ABST	pabst
ABSTRKT	abstract
ABT	abbot
ABTYN	abtine
ABV	abe
ABVBA	aboba
ABVDBY	abudhabi
ABVDHABY	abudhabi
ABVHBYB	abudhabi
ABVLYN	abolin
ABVRYMH	eboreime
ABVT	abbot
ABVT	abbot
ABVTSMYT	abbotsmith
ABYA	abia
ABYAB	abiab
ABY	abe
ABY	abe
ABYAD	abiad
ABYAN	abyan
ABYD	abend
ABY	abe
ABYL	abel
ABYLAK	abilock
ABYNA	sabina
ABYNGM	obbingem
ABYNGN	bingen
ACDL	adel
AC	ac
ACR	acrux
ACRNAR	achernar
ACTY	active
ACTYH	active
ACY	ace
ACYLS	ascolese
ACYSVN	acheson
ACYT	acee
ADAB	adab
ADAM	adam
ADAMV	adamo
ADANA	adana
ADAN	adan
ADANL	adan
ADARA	adhara
ADB	adab
ADBRG	edberg
ADGRYNGLND	adgeringelant
ADGRYNGLNT	adgeringelant
ADGYNGTVN	edgington
ADH	ade
ADKAK	adisak
ADKK	adik
ADKRYK	oudekirk
ADKVK	waikiki
ADKYNZ	adkins
ADKYRK	oudekirk
ADLA	adela
'ADL	adel
ADL	adel
ADLARDV	adelardo
ADLAYD	adelaide
ADLAYD	adelaide
ADLHYD	adelheid
ADLMA	adalma
ADL	adel
ADLR	adler
ADLSVN	adelson
ADLY	audley
ADMVND	edmond
ADMVNDS	edmonds
ADMVNDZ	edmond
ADMVNZ	caedmon
ADMYRALN	admiralen
ADMYRALZ	admiral
ADMYSTVN	edmiston
ADNAMS	adnams
ADNAMZ	adnams
ADNBRAG	edenborough
ADNBRG	brandenburg
ADNBRV	adventure
ADNBRVG	edenborough
ADNBVRG	brandenburg
ADRY	audrey
ADRY	audrey
ADRYANA	adriana
ADRYAN	adrian
ADRYANS	adrianas
ADRYN	adriene
ADRYNKLNT	adgeringelant
ADRYNS	aldrins
ADRYNY	adriene
ADRYNY	adriene
ADRYS	audreys
ADSAL	adusumalli
ADST	adsett
ADSVN	madsen
ADT	adit
ADVARD	adelardo
ADVARD	adelardo
ADVARDSN	edwardsson
ADVART	eduwart
ADVLF	adolf
ADVLFSVN	adolfsson
ADVLF	adolf
ADVNCR	adventure
ADVNL	advil
ADVNYS	adonis
ADVSVMALY	adusumalli
ADVVART	eduwart
ADY	eady
ADY	eady
ADY	eady
ADY	eady
ADY	eady
ADYH	radeyah
ADYK	adik
ADYKS	addicks
'ADYL	adel
ADYL	adel
ADYLRD	adelardo
ADYNA	adina
ADYNGTVN	addington
ADYNGTVN	addington
ADYS	adis
ADYSAK	adisak
ADYSVN	addison
ADYT	adit
AFA	afa
AFAF	afaf
AFRA	afra
AFRDYT	alfredo
AFRVDYT	alfredo
AFTAB	aftab
AFV	afou
AFVRYL	aurelio
AFYCART	aphichart
AFYF	afif
AFYGTN	safoutin
AFYNGTN	uffington
AFYS	afros
AFYSR	mafioso
AFYVN	afioun
AFZAL	afzal
AFZL	afzal
AGALY	agali
AGAS	agass
AGATY	agate
AGBRN	ogborn
AGBVRN	ogborn
AG	ag
AGLSTVN	eaglestone
AGMN	ageno
AGMVZ	gomez
AGNDY	agndie
AGNV	agni
AGNVYK	agnew
AGPYAN	agopian
AGR	auger
AGRAVALA	agrawala
AGRN	agren
AGRTN	agren
AGRTVN	egerton
AGRYNGLANT	adgeringelant
AGRYNGLND	adgeringelant
