LVJYK	logic
KVNVPKA	konopka
SYVA	siva
ZARYH	zaria
ADNAMS	adnams
SYKVLV	sicolo
KASTVRY	kasturi
VYNSTRVM	winstrom
FRAMSAN	fromson
MARY	mury
SYSK	sisk
YVZR	user
GANDY	gandy
TVBVTYS	tubutis
LYM	lim
JVNYN	jonin
DAYVVN	dauwen
PANT	pant
FVRK	fork
GARTYN	gartin
ABYAB	abiab
FATYMA	fatima
ASMAYT	smythe
BYG	big
HARBVR	harbor
AYBYRVNK	ibironke
RABYJN	robijn
KANA	kana
BAD	bud
DANKY	dunki
VYMPJY	wimpje
NAYMAH	naimah
AVLYVYR	olivier
JAVYD	javed
MAGVAYR	maguire
DVMYNYK	dominic
TALBVYZ	talboys
PYNKY	pinky
PVSV	poso
KASPRZAK	kasprzak
RYVNVLD	reinoud
KVRY	kory
NAGY	nagy
KATRYJN	catrijn
VYMPJH	wimpje
GYBSVN	gibson
ASPLYNTR	splinter
LYRYK	lyric
AKL	akl
HASBY	husby
TALBVYZ	talboys
GAS	gus
AYNTJH	eyntje
KYKVMA	kikuma
LADASKY	ladasky
JVRY	jory
DVRAZYV	dorazio
RYYNKS	rienks
BARVA	barua
AKTVN	acton
BRVYLV	broilo
BLKSVM	bloxom
DYLYP	dilip
ASTRLYNG	stirling
KANYG	konig
BALHAM	balham
BAP	bop
SYMVN	simon
HVGARTY	hogarty
DAPAY	dupuy
HANKZ	hanks
ATKA	atka
DAY	duy
FRYTS	frits
DAHVK	dahuk
VYNTJH	wyntje
ASLVP	slope
TAYSN	tyson
HAYRVNYMVS	hieronimus
NYKY	niki
RAGNVALD	ragnvald
YARLA	iarla
ANV	eno
NVRDBVRG	nordborg
ASMYD	smead
TYV	tio
KVSTA	costa
TABVK	tabuk
ZAPARA	zapara
JVRY	jory
RVNALD	ronald
FYDALGV	fidalgo
KANZY	kanze
VYBVVV	wibowo
ASTALKH	stolcke
STRATVN	straton
RAY	rai
LANGV	lungu
DAL	dal
VYJDAN	wijdan
FYGARD	figard
BRAYD	bryde
AVSNZ	owens
AMYNA	amina
MARGVLYN	margolin
GARDYNR	gardner
MKMANYS	mcmanis
AVSYVN	oseven
AGALY	agali
TVNY	tony
JYM	jim
BASYLYVS	basilius
BYPYN	bipin
BAS	bas
ASKRYV	screve
NYVMAN	neuman
BLANSTAN	blanstan
KALAHAN	calahan
ALYAS	alias
SAMBVLYK	sambolec
RAYSTLYN	raistlin
PRYTZ	pritz
AVT	ott
FLARDYNGA	flardinga
SVDARMV	sudarmo
GRAG	grog
DVNATY	donati
SYVN	sune
PYVN	pion
BVZKART	bozkurt
ASTRND	strand
DYMYTRYVS	dimitrios
BVZKART	bozkurt
ASTABRT	stobert
KAZVHYRV	kazuhiro
AMYT	emit
AMBAR	embar
ALRVY	elroy
ASNV	snow
KVAST	kwast
VYSPY	vispi
DANYYLS	daniels
ALYA	alya
HASKYNZ	hoskins
ABA	aba
VAYS	wise
TVNAR	tonar
TAYLBRY	tilbury
MYLARA	melara
SVNY	sony
BKS	bex
HAV	hau
ADGYNGTVN	edgington
HAFS	hafs
GARYTV	garito
KVYRYN	querin
TVMATYVS	tomatius
ARYKSVN	ericson
BVYRKVYL	boerkoel
GVYYN	gwynn
SASLAV	saslav
DAVSVN	dawson
BANTVN	banton
NYVARK	newark
AYDVAYSVZ	ludovicus
KRAMHVRN	crumhorn
PANJABY	punjabi
KASTANV	castano
NYK	nic
HALY	hale
PAYTVN	payton
SYNDRH	sindre
BRYAN	bryan
JASTYH	justje
NVLAN	nolan
ANALVG	analog
HADSVN	hodson
AGVSTYNY	agostini
YAMYNAH	yaminah
PLANK	plunk
KAVLYNG	cowling
JYZAN	jizan
MANVLY	manolo
KYNGSTVN	kingston
KALDYS	kaldis
DYMYTRYV	demetrio
MAYZ	mize
TVNGA	tunga
ASPYR	speer
MVRYN	morin
PVYNTYNG	poynting
ARLYNG	arling
MYRMAK	mirmak
BARYAKS	bariaux
MARLYN	marlin
NARDY	nardi
FAYRVZ	fairuz
MARYTJY	maritje
TALMY	talmy
TYSZA	tisza
PLATFVRM	platform
ALVA	alva
AFYF	afif
HAPKRAFT	hopcraft
TRAVAJLYA	travaglia
LYBLYT	liblit
PRAYB	pribe
ANVN	anon
TAKV	taco
MVRA	mura
BARKALV	barculo
VYNKV	vinko
ASTNFVRD	stanford
BALSARA	bulsara
YVRK	york
DYNA	dina
SAKSNM	saxnem
GANSVN	gunson
LARJA	larga
BRYNK	brink
SAYTV	saito
ASKLVYR	sklower
GARMZ	garms
DANKV	danco
'LY	ali
AVRN	orne
ABH	abe
KAV	cao
MAYRS	myers
ARSY	arce
BADYN	baden
KAVDLYNG	quodling
GVRKY	gorki
AVLSN	olson
SAMZ	sams
PRANAV	pranav
KALTVN	colton
RASPYNY	ruspini
JARVYS	jarvis
GARMZ	garms
ADYH	adie
BAYRTYH	baertie
BAKSKA	bocska
JAKVBSVN	jacobson
SYRAFYN	serafin
AYNC	inch
BYAN	bian
PANKRAS	pancras
ANPYNGKV	unpingco
DANG	dung
SYVN	sune
AYDS	eads
GARAFALV	garofalo
DVLYN	dolin
VAFA	wafa
ASTNKAMB	stancomb
BVRGA	borge
KYNGFAY	kingfai
AYMAN	aiman
MARKVS	marcus
RYDKVYST	rydquist
SAYDA	saida
PYYK	peak
KAVLYNG	cowling
DANG	dung
MVNTYJV	montijo
FRAMSVN	framson
PYVN	pion
GADBVYS	gadbois
SAYTZ	sites
RAFAYL	rafael
LYKYVRY	liquori
ASLATR	slater
KLATZ	klotz
LYN	lyn
LYVNARDV	leonardo
ZVRYNK	zurink
HANT	hunt
BANKRVFT	bancroft
AYZDY	izadi
MARGVLYS	margolis
LAVRAY	lawrie
SVDARMV	sudarmo
TVNAR	tonar
TAGLV	tuglu
BRAN	bron
TVMY	tomi
VLADV	vlado
HAKABAY	huckaby
JASTYH	justje
YANVVYTZ	yanowitz
AVLYVYR	olivier
ASLATR	slater
MANGYN	mangin
AMNVN	amnon
LVRY	lori
BAVM	baum
AMADVR	amador
ZAKY	zaki
BRYDY	brady
GASTAVVS	gustavus
FVRSAYT	forsyth
KARYDA	karida
VYLKYNZ	wilkins
ABRAHAM	abraham
AYDMN	eidam
ASTAMPR	stamper
DABYNZ	dobyns
PANJABY	punjabi
RAVY	ravi
BRYSYNDA	brisinda
HVGARTY	hogarty
DAY	die
KVYYT	quitt
HALY	hale
'BVDHABY	abudhabi
RYBAR	ribar
NANSY	nancy
AYRDV	airdo
KVANG	kwang
ANVN	anon
LYNDRVTS	lindroth
SYRAFYN	serafin
LAYMAK	limace
DVPALM	depalm
MARYH	murie
LAYVLY	lively
MARYV	mario
HARPVLD	harpold
BRVZ	broz
MATAKV	matako
MANYKS	mannix
SAKSNA	saxena
YVZR	user
ASTARYNGR	staringer
SYNKLAYR	sinclair
KATY	kati
AMYVT	amiot
