DABYNSKY	dubinsky
DVRVYN	dorwin
ANAZ	anas
BYSAYV	bissau
DANYS	danis
SVLV	solo
VYMPYJ	wimpje
DVRFMAN	dorfman
ASTRY	stray
TAMPKYNZ	tompkins
PALVMBV	palumbo
TVRMALA	tormala
BRAVN	brown
SANG	sung
SARVATH	sarwate
ASTRAP	strope
PARSVNZ	parsons
BRYVN	bryon
SANRAYZ	sunrise
DANA	dana
ALKYNGTVN	elkington
ADYH	adie
BABV	babu
BYANGTAY	byungtae
SVDYPTV	sudipto
DANG	dung
TANYS	tanis
TAMPKYNZ	tompkins
VYNSTRVM	winstrom
FATYS	fotis
RAMVS	ramos
ASPARZA	esparza
JYMZ	gems
PAGLYA	paglia
ALMYNTAGAH	almintaqah
RYMVN	rymon
SAVYR	sauer
MARTY	marty
DVHA	duha
MANY	mani
HALVB	holub
KRVSBY	crosby
LYVNARD	leonard
BRAVN	brawn
ANYSH	anisa
SVNY	sony
KAV	kao
VVN	wun
LVAYNJ	luinge
RABY'H	rabiah
HASLVM	haslum
ALSVP	alsop
BRABANT	brabant
GRABNAR	grabnar
R'NA	rana
MARKVS	marcus
ALVARVS	alvarus
ABA	aba
AYSMN	isman
BARVN	baron
BLAM	blum
PVLVVYN	polowin
MARTYN	martyn
BASTARD	bastard
LAMBDA	lambda
MARYA	maria
JAKVMYNTYH	jacomyntie
MVRNYNG	morning
JVDY	judy
MYKAYL	mikael
LAND	lund
MAYT	myth
ARSKAYN	erskine
ALTANYN	eltanin
PAYVLTJ	paultje
SYVN	sune
LARA	lara
HARALD	harald
MANDAR	mondor
MARY	mary
KVZV	kozo
TAPTANY	toptani
DART	dart
TYV	tio
RASTRAM	rostrom
YASYN	yasin
GRAD	grad
DAK	duc
KVSVGH	kosuge
SVRAB	sorab
HALVB	holub
RANA	rana
ASPARNDAM	spaarndam
HVRYV	horio
LYDAL	lidal
AYDMN	eidam
AVHALVRAN	ohalloran
ASPVTYS	seputis
BRAVN	brown
AYSAN	eason
DYAMVND	diamond
PADVA	padua
SVL	sol
BRAVV	bravo
SASAKY	cacace
ANDAMZ	adnams
AYVTYK	ivetic
TAFT	toft
RAY	rai
AVFYNGTVN	uffington
LAZARA	lazara
KLYFTVN	clifton
HAYD	hyde
ALVYN	alvin
LADASKY	ladasky
AMVRY	amory
GAVYN	gavin
TYNA	tina
RYGV	rigo
GASTYN	gostin
SAMVN	sumon
JASTYN	justin
AVRCARD	orchard
BRYSBYN	brisbin
AVRYVLY	aureole
AYDS	eads
DAV	dow
RVNALD	ronald
BRAVN	brawn
JALA	jala
'ADL	adel
DANAVAN	donovan
LANDRVM	landrum
PYRAMYD	pyramid
HYNSVN	hinson
MANGAN	mangan
PAKALA	pakala
LYZARD	lizard
NAYLZ	niles
MYLGRAM	milgram
AVYVA	aviva
KAV	kao
MASKARY	mascari
DYKYNZ	dykins
HAV	hau
BRYND	brind
NYNVYS	ninoys
MVRANDV	morando
BVZKART	bozkurt
SABHANY	subhani
DVRMA	dorma
BYATLYNG	beutling
ASTV	stew
MANTVR	mantor
SAGARS	sugars
RYDKVYST	rydquist
DVY	doi
PRAYL	prael
PARSVNZ	parsons
ABDVN	ebdon
ANBV	anbu
KAKY	kaki
KLAG	klug
MARGVLYVKS	margulieux
ADVARD	edvard
ALFVRD	elford
BVSTVN	boston
KANYVN	canyon
TANAK	tanak
RYBAR	ribar
ALFVRD	alford
TVSV	tuso
LYNDVN	lyndon
PVRKV	porco
AVYRSA	aversa
ANVJYT	anujit
VYVYK	vivek
PYSTVN	pistun
LYMYNG	liming
ALAPATY	alapati
BLANSDAN	blunsdon
RYV	ryu
TAMBRVS	tombros
KALYSYAK	kalisiak
ASKALY	scally
DYVYA	divya
JAHMANH	jahmane
DRVNY	drune
AYSTYN	istian
BALYT	balit
ANYJMA	enigma
ANVN	anon
YAGLA	yagla
VYJBRAND	wijbrand
ASMA	asma
FLYVRY	fleury
GADY	gadi
ANAGRAM	anagram
PRYVR	pryor
PRAMVD	pramod
DABAS	dubuc
TRYM	trim
PANDYAN	pandian
VLADV	vlado
SYANG	siang
LYVYV	liviu
HARVHYSA	haruhisa
JYNAKYRAMAN	janakiraman
ASKP	skep
VAYGL	wigle
AVKSVL	oxwell
AFZAL	afzal
AVSBVRN	osborne
MAV	mao
HVRKAN	horkan
FYLYAS	filias
SAYM	syme
FALKV	falco
KAMBZ	combs
MASNA	masna
HARYV	horio
ASFAR	sphar
SVRAJ	suraj
GVPALA	gopala
RVLFH	rolfe
MARTYJN	martijn
KAYK	kauk
DVRFMAN	dorfman
ANDRYAS	andreas
SYMVNDS	simonds
DAVKYNZ	dawkins
AYN	ain
ALYSYA	alicia
ASLVN	olson
JARBVT	jarbot
MS'VD	masud
AVDRA	audra
VAYNTH	wyntje
ASMYTSVN	smithson
ADARA	edara
PARDY	pardi
ANDRYS	andris
KLAGSTVN	clugston
NAGY	nagy
PRASANA	prasana
LYVYVS	livius
KAMBS	combs
AYNGYJD	engaged
TATSVRV	tatsuro
DVHA	duha
ASLYMAN	slimane
LAV	lau
RVBYNSVN	robinson
DAYR	dyer
DYNT	dint
JAVYKA	jovica
FVRJY	forgy
AYT	ait
SYPRYANV	sipriano
ASKLVYR	sklower
MYNTZ	mintz
VYNSN	wincn
ASK	ask
MYKAYL	mikael
GLASYYR	glacier
MADVN	madon
VARYANTZ	variants
GVH	goh
FLARDYNGA	flardinga
DADA	dada
RABYDYAKS	robideaux
AYNANA	inanna
BRAN	bran
TVRMALA	tormala
KAY	kai
ALKAN	elkan
FRNASYSKAS	frnaciscus
MVLYNARY	molinari
SABRAMANYAN	subramanian
TAKV	taco
GASTAVVS	gustavus
AVR	ore
MAYTAG	maytag
ASTYN	stian
BVNVMV	bonomo
HYVKYNZ	hawkins
HARARY	harari
PRYSTVN	preston
DAL	dal
BVDAR	budur
HARVHYSA	haruhisa
TVVYS	twiss
HARBVD	harbud
MVTVRZ	motors
TVFTH	tufte
ASTARKY	starkey
BYZVAS	biswas
FANGVS	fungus
TAD	tad
DYMYTRYVS	dimitrios
SARNA	sarna
PANAS	panas
PARKYN	parkin
ASTYL	steel
LYN	lin
GVRAL	gural
ASTYNBRG	stenberg
PANJABY	punjabi
VYVLA	viola
MARTYZN	martijn
ASTDYNA	stedina
ASTRYDR	strider
DAK	duk
GAYDA	gayda
ASMA	asma
TAMPKYNZ	tompkins
MYNTAKAH	mintaqah
BARTHVLVMYVS	bartholomeus
PALYDV	pulido
'BDAL'ZYR	abdulaziz
GALYLH	galila
RAM	ram
ANSKAMB	anscomb
HAYRVNYMVS	hieronimus
GADBVRY	gadbury
GASKYN	gaskin
LYZA	lisa
BVLTAN	bolton
MARYV	mario
ASTAKS	stocks
BVLTAN	bolton
ASLYNY	slaney
LYNDRVTS	lindroth
KAMPVS	campos
KYKVMA	kikuma
ALAYS	elyse
JAVYD	javed
ABY	ebe
TRYVLV	triolo
ANAS	anas
FAVZY	fawzi
MAYSAL	missal
GASKVYYN	gascoyne
SAMBVLYK	sambolec
FVRSAYT	forsyth
LAYND	linde
RYYNKS	rienks
ANTANAYTYS	antanaitis
DART	dart
ASPVLARYC	spolarich
MARTY	marty
MVRYSVN	morison
KRYS	kris
KASAMA	kasama
DAY	day
DYNA	dina
LAZARA	lazara
KLAGSTVN	clugston
GVYL	goel
TAPLYN	taplin
NYNJA	ninja
QVASYM	quasim
JVDY	judi
ANANT	anant
KVRVYN	corwin
GASYK	gasic
ANAZ	anas
GRAV	grau
MVRTAN	morton
DAV	dow
LVNZ	lunz
DANGTAY	dongtai
YVZR	user
NADVLNY	nadolny
MYTVN	maton
GAVYNDAN	govindan
VASLV	waslo
HARALD	harald
ANJY	engi
ASTYVZ	steves
JHANG	jhang
KARABVLVT	karabulut
ASPANGLR	spangler
BARBVRAK	barborak
JALA	jala
KVYL	quel
KVSVGH	kosuge
BASYLYKA	basilica
KRVG	krug
DVHA	duha
RAYDAH	raidah
ZVRYNK	zurink
ALVA	alva
FARAT	furat
LYNK	link
'RBYL	arbil
DVSTALYK	dostalik
SAGA	suga
SYTLAYV	cittlau
FADVR	fodor
PVRYNTVN	purinton
BRAYR	brier
ATKYNZ	etkins
BRANSDVN	brunsdon
SYMVNDS	simonds
MKKARTY	mccarty
SVNA	suna
LADVVYKA	ludovica
KAVYTA	kavita
NYLS	nils
DNVKS	denux
AGYL	aqil
ADVARD	edward
HVGAN	hogan
ALVK	alok
PAYNY	payne
ARYKA	erica
KVRAM	coram
PAYNY	payne
SAYKV	psyko
BRAYNKLR	brinkler
ARBY	orbi
KATY	kati
MVRAY	moray
KASAMA	kasama
KVARTZYTH	quartzite
MARGARYTA	margretha
PVGVSYAN	pogosyan
JABJH	jobje
ALKYNGTVN	elkington
RAMVLVS	romulus
LAMPY	lampi
AMANV	amano
JVDY	judy
SANDHV	sandhu
GRANVYN	granvin
DVNATV	donato
'ALY	aali
AVLD	auld
VYRJYNYA	virginia
HARTAH	hurtah
SVHAS	suhas
RAVY	ravi
AYGV	igoe
GAYNVR	gaynor
KNVFYNKH	knufinke
MYLARA	melara
BYKVN	bacon
ADARA	edara
DYANA	diana
FYDVR	fedor
LYNDAL	lindal
ANTARAMYAN	antaramian
BAVDVYYN	baudouin
ASTAG	stagg
FRANSYNTYH	francyntie
