GYFT	gift
DAYANYSYS	dionisios
ASMYTZ	smiths
JAVYD	javed
ANBAR	anbar
BARFVRD	barford
ASLYP	sleep
FARAT	furat
HAVN	hawn
ARNAT	arnot
YVNAL	uenal
GRAYYV	grieve
ALVYN	alvin
AYRYS	ariss
ASKVLYNG	scowling
ANBAR	anbar
PAYK	pike
LABRYVLA	labriola
ASTYVN	steven
ARASMVS	erasmus
JAN	jun
TAYLBRY	tilbury
MVHAN	mohan
PANYSY	panici
APLYN	aplin
RVKAN	rukan
ASKP	skep
KVBYLAH	qubilah
RANKYN	ronkin
TAMPAS	tampas
SYMYN	simin
VYLJV	viljo
ASTRYD	astrid
NAZARYTYAN	nazaretian
VYNSTVN	winston
HYVNGAN	hiongun
BRYND	brind
BVNYTZ	bonitz
JANVTJH	janotje
GVRGANZ	gorgons
LYVYV	liviu
MARY	mary
AVLSVN	olsson
KAYAK	kayak
BRAVN	brown
HYRT	hirt
KADV	kado
LATKYNZ	lutkins
ANTRAPY	entropy
GABA	gaba
VANG	vang
BRANDY	brandi
LVRD	lord
FLAYGYR	flygare
SVDAN	sudan
ASTYGBRG	stigberg
KVYYLYN	quillin
PRAYL	prael
HYGARTY	hegarty
LANTZ	lantz
MYSA	mesa
AYSLT	iselt
GVRAN	goran
NAYLZ	niles
TAMATYVS	tomatius
AYRD	aird
MABANAG	mabanag
MALVNY	malone
VYNSTVN	winston
KRYSVYJN	krisoijn
LYSKANV	liscano
KALHYNH	culhane
ANSYH	anisa
TRAVAJLYA	travaglia
GARBH	garbe
KAV	cao
KRYSTAL	crystal
GVAN	guan
HYRD	hird
BVSA	busa
ASYF	asif
JASTJH	justje
ALYN	olin
TYYVLN	thulen
KYVMR	kumar
GRAH	grah
KASTA	costa
MVMFVRD	mumford
VYK	vik
LVS	los
BARNAM	barnum
ASTK	stec
AYMVN	eamon
HVLRVYD	holroyd
ARMAND	ormond
DVRAND	durand
DARBY	darby
PALYDV	pulido
FRNASYSKAS	frnaciscus
MAY	mai
GRAYSLDYZ	griseldis
HANT	hunt
SANK	sunk
DYVAYN	divine
ARVNAH	arunah
AKS	axe
ASPYR	speer
ASPYDN	speden
DYMA	dema
JANSKY	jansky
GRAV	graw
KASTRYKVM	castricum
BLAVADNYK	blavatnik
MVNDFRANS	mondfrans
PVH	poh
ANAYZA	unaiza
ASTVARD	steward
NYNSTAR	ninstar
PRAYM	prime
LANKA	lanka
APSTVN	upston
JAKVBY	jacoby
KRASBY	crosby
TVYYG	twigg
AYNGRYSVL	ingresole
TRAFTVN	trafton
KANG	kang
DJAMYLA	djamila
KVBV	cobo
KASTANV	castano
NAGY	nagy
BANKRAFT	bancroft
GVDAT	gudat
AMNA	amna
KLAYTVN	clayton
ANAY	anay
SYMYNG	siming
ALMVMAN	elmoman
SYN	sin
GVPTA	gupta
BRYGVY	bryguy
SYNAN	sinan
PVHL	pohl
KARA	kara
KRYSTYAN	kristian
HYNTVN	hinton
ASTYN	steen
AYLSA	ailsa
MARTYNTJH	martyntje
MAY	may
AMVRY	amory
LVBV	lobo
NARLA	narla
MVNTYJV	montijo
TVLAY	tully
LAVD	loud
PVLGAR	pulgar
AYLSA	ailsa
PAM	pam
AYBYRVNK	ibironke
KAYK	kauk
AYR	air
KYNSVN	kinson
PANYKV	panico
ASVALD	oswald
MARVYT	marvit
ASTYNBRG	stenberg
TYPAL	tipul
BRATYNA	bratina
LAMASTVS	lamastus
LABRYVLA	labriola
AYNGRYSVL	ingresole
AVANZ	evans
ASTYN	steen
KAZVHYRV	kazuhiro
LAND	lund
VAYN	vine
LYMN	lymn
MAHAJAN	mahajan
VYNTJH	wyntje
DAY	day
VYNSVN	vinson
KRAVFVRD	crawford
MYKVLYK	mikolic
BVSTVN	boston
RAFAYLY	rafaeli
AYK	aik
SADYVP	sudupe
DRVR	dror
ASLYP	sleep
FYNSTAD	finstad
HYSLVP	hyslop
GANG	gung
KVYSMAN	coisman
RVSA	rosa
VYLAS	vilas
BVKSY	buxey
'QYL	aqil
VYLASKV	velasco
ASTYN	stian
