RVSTAD	rostad
DANKV	danco
ASTVRR	storer
FVNYVK	foniok
MARTYJNTJY	martijntje
KALHYNH	culhane
AVRKNY	orkney
KLAYN	klein
ASTARGS	sturges
RAKVN	rukan
KARLKVYST	karlquist
AVLSVN	olsson
AMYT	emit
JASTYH	justje
GVYYN	gwynn
GARYTV	garito
DYMYTRY	dimitri
AYTCVN	itchon
BALTAYS	baltais
AVANZ	evans
GASKVYYN	gascoyne
ANATVLY	anatoly
DYNG	ding
ANTVNY	antony
FADYL	fadil
LAL	lal
DVK	doc
BARKASFYLD	barksfield
VYVLA	viola
TAYLV	thilo
LVSY	lucy
LAYVY	liewe
SYRYL	cyril
AYZAK	isacq
ANAYLYN	anilane
AMNVN	amnon
SVL	sol
NYKVLYK	nikolic
HAVTYN	hawtin
SYDVR	sidor
RADVF	radov
AFAF	afaf
FRANKVYS	francoys
ASTYLZ	stiles
VAN	van
KVYN	quin
PVSV	poso
ASTYNBRG	stenberg
BARTVLYNY	bartolini
LYZARDZ	lizards
LAYNG	laing
PAYK	pike
LAV	lau
FRANKV	franko
VYNTJY	wyntje
KYALASA	kailasa
ABYAB	abiab
LAY	lai
KALAFATAS	kalafatas
DVBSVN	dobson
BVM	bum
HRLAYNDYZ	herlindis
ASPVSYTV	esposito
MYTRVVYK	mitrovic
JVAN	joan
LVS	los
JVBAL	jubal
ABST	obst
YASYN	yasin
DVBYNYN	dubinin
RYHANA	rihana
BRYYTVN	britton
MADYS	madis
DRAM	drum
ABDVN	ebdon
AMBRVSYVS	ambrosius
KASYNSKY	kosinski
AKMAN	ekman
FARAG	farag
ASPAT	spath
ASNL	snel
ASTVN	stoun
LAYVSAY	livesay
KATLYR	cutler
ZAKY	zaki
AKVNA	acuna
VANSY	vance
DRYDJY	dridge
KAV	kao
JANG	jong
AMYHAY	amihai
KARA	kara
ALDZ	olds
BRYJ	brij
PALVMBV	palumbo
NYPTVN	napton
MVRANV	morano
MVRTVN	morton
BYAN	bian
JANSKY	jansky
SYDVR	sidor
BAKSKA	bocska
ANJY	engi
HASYK	husik
PADYAL	padial
HVRN	horn
BVNAR	bonar
VYMPYJ	wimpje
ASMA	asma
GVYKARYS	geocaris
AVRAHAM	avraham
SVRAB	sorab
JAGV	jago
ANVJYT	anujit
ALMYNTAKAH	almintaqah
VYVLA	viola
KARTY	karty
SABRAMANYAN	subramanian
SVHM	sohm
KYRK	kirk
DANGYVN	dungeon
LYSTVN	liston
DANKV	danko
MYNAMV	minamo
ADVNYS	adonis
ANTVNYVS	antonius
GAYVN	gawne
AGYL	aqil
VVN	wun
BARG	burg
AVSN	osen
TAYTY	tytie
DYMYTRYV	demetrio
ADYK	adik
MANDAR	mondor
BAJYK	bajic
RAST	rust
DAMVN	damon
LVYD	loyd
'ADL	adel
TVMY	tomi
APSTVN	upston
DABYNSKY	dubinsky
DYMYTRY	dimitri
PATRYSYA	patricia
LYND	lind
TVYN	twin
DVSTALYK	dostalik
ARAYZ	aries
KVBSA	kobsa
AMARDYV	amardeo
VYKAS	vikas
ASTRY	stray
BLAHA	blaha
GVDSVN	godson
AMVS	amos
BVSTAK	bostak
AYDVAYSVZ	ludovicus
YANG	yang
ALVYN	elwyn
RVNY	roni
AYZDY	izadi
ARNVT	arnot
VYSKA	visca
KVMPTVN	compton
ANTVNYV	antonio
RVSANA	rosana
HAMYLTVN	hamilton
SVNDARAM	sundaram
KAZY	kazi
SYRYL	cyril
RAFALKV	rafalko
BYRK	birk
ABY	ebe
GASTA	gosta
ABVBA	aboba
LYMYNG	liming
SAMANTA	sumanth
GAYNVR	gaynor
KRYYK	creek
NYMTZ	nimtz
HADSVN	hudson
HANTYNGTVN	huntington
AVRFYVS	orpheus
ANBAR	anbar
KYV	kao
HAKABAY	huckaby
PVPAT	popat
KAYA	kaya
KAVYTA	kavita
KARL	carl
ALBAHAH	albahah
MVKASA	mukasa
BALBYR	balbir
PATRYSYA	patricia
BATRA	batra
BARG	burg
MASKARY	mascari
KYKVMA	kikuma
TAMPAS	tampas
ALKS	alex
PVRTNVY	portnoy
VYLKYNSVN	wilkinson
AYVLYN	evelyn
KAKYVR	kakure
SVRANA	surana
PARKZ	parks
LAYVRYTSN	lauritsen
FAYRBANK	fairbank
LYVAYN	levine
RYHANA	rihana
KASTVRY	kasturi
HAV	haw
ABRAMSVN	abramson
ADVARD	edvard
ASMYRNV	smirnov
RAMBV	rambo
MARK	marc
KVYNRYDVS	coenradus
FARAG	farag
AMAL	amal
MARGVLYN	margolin
SVLAR	solar
ASKRYV	screve
PAYNTVN	paynton
AVZMN	ozmen
ARAM	oram
LVKAS	lucas
NYHALANY	nihalani
AMLAK	amlak
AMY	amy
PVYNTYNG	poynting
KAMPTVN	compton
LYTLY	lytle
GYLPYN	gilpin
VYLKYNSVN	wilkinson
GRAV	grau
SRAYNH	shryne
DYSMVND	desmond
SAMBVLYK	sambolec
AVYAN	avian
BASYLYKA	basilica
BVHL	buhl
PARMAR	parmar
MVNDFRANS	mondfrans
SYLVYV	silvio
VATKYNZ	watkins
DYVYD	david
PYRVZ	piroz
AYRYZARY	irizarry
DVLYN	dolin
FRANKV	franco
LYN	lyn
MYN	min
DABAS	dubuc
LYNKVLN	lincoln
MARYH	murie
ANTRAPY	entropy
MARAZAS	marazas
TYNA	tina
KVL	col
RVSA	rosa
HAYD	hyde
SVSYA	sucia
JAG	jog
HAYN	hain
RASTRAM	rostrom
AYVNS	evens
ADRYS	idris
ASLVN	sloan
FRANSYSKAS	frnaciscus
GALY	gali
AYSKANDR	iskander
HALM	halm
HAVKYN	hawkin
JYBSVN	gibson
PRYVR	pryor
HABVRA	habura
KAPYLA	kapila
FRANKV	franko
MS'VD	masud
AVYS	avis
HYVKYNZ	hawkins
BYNG	bing
MVGANTY	moganti
GVLVMB	golomb
MAYR	mayr
MATANA	matana
AVMGA	omega
VYDAD	widad
NAVYA	navia
FRAYDY	friday
MANKVS	mancus
NVTZ	notz
LYBLYT	liblit
SARMA	sarma
PYRANY	pirani
AMYT	amit
BALBYR	balbir
BABYTZ	babitz
KATRYN	katrin
DVNALD	donald
KVDY	cody
KVMVRV	kumoro
ASPRVT	sproat
RALF	ralf
BRYJ	brij
DAYBALA	dyballa
ASLYV	slave
MYLKS	milks
NAZARYV	nazario
KRANSVYYK	cranswick
NAS	nas
KRYSTYN	kristin
BLVZVM	bloxom
MKGVYRK	mcguirk
TVMY	tomi
MARYSH	maryse
AMBRVSYVS	ambrosius
ASTANGYR	stangier
MKMANYS	mcmanis
'BDVL	abdul
ALMAR	elmar
ASPVTYS	seputis
MVNS	muns
LYTLY	lytle
MARYANA	mariano
GVRYS	goris
KYVSMATV	kusumoto
JAYAN	jayan
TVMY	tomi
NYKVLAS	nicolas
VAYLDR	wilder
JANVTJH	janotje
HAVN	hawn
YAMYNAH	yaminah
ASTRAP	strope
BVNYN	bonin
SYVNKA	cionca
YASYRAH	yasirah
AYVA	iowa
GVRVYTZ	gorwitz
AVYRSA	aversa
ASTRYDR	strider
AYSKANDR	iskander
KYMVRA	kimura
DAMYNYKAS	dominicus
KALA	cala
SVZY	suzy
TABVK	tabuk
ATV	oto
ANJYLYNY	angelini
NVKV	noko
AKYL	akil
ASLVN	olson
BARTHVLVMYVS	bartholomeus
LAMYKYN	lamykin
KARPLAS	karplus
ADRYS	idris
TANYS	tanis
KATVALA	katwala
RVNDH	ronde
ZVRYSYKA	jurisica
BYKSLR	bixler
SAMVYL	samuel
VYSPY	vispi
MANTVR	mantor
HAGA	haga
RAYDAH	raidah
GRANVYN	granvin
MVRAS	moras
LVRY	lory
MYKAYL	mikael
HADRAMAVT	hadramawt
'LY	ali
LADVVYKA	ludovica
AYNS	ines
GANSVN	gunson
KVRAM	coram
LVYYNG	luinge
BVKSY	buxey
ABAD	abad
FADVR	fodor
MVNTALBANV	montalbano
KARN	karn
PAPLASKAS	paplaskas
KLATZ	klotz
PAKS	paks
SANRANG	sunrong
ALMYNTAKVA	almintaqah
ALYMA	ulima
KVYL	quel
FYASKVNARV	fiasconaro
DYNG	ding
LARSVN	larson
PANKRAS	pancras
DAVSAN	dawson
ALANA	alana
MADYS	madis
MYZYRA	mizera
ARNVLD	arnold
SVAGATV	swagato
RAYSTLYN	raistlin
MYNARD	menard
KYAT	kiat
DYK	dik
AYSLYK	icelic
FRAMSVN	framson
RYJSVYJK	rijswijk
KARLAYL	carlile
NYDH	nida
LANA	lana
PVLYNG	poling
KVL	col
ADMYRALZ	admirals
MALAN	malan
LANTZ	lantz
BYLYNGASLAY	billingsley
LVND	lund
LYSY	lacy
PVALMA	puelma
HALAT	halat
BAKAYA	bakaya
DVBRYZ	dubris
LVYD	loyd
'BDAL'ZYR	abdulaziz
PADVA	padua
GARMZ	garms
GRAH	grah
ASLYMAN	slimane
RAV	rao
ALYVA	oliva
AFYF	afif
BASYLYVS	basilius
LYLA	lila
GASLYNG	gosling
KVRVYN	corwin
BRVNYYV	bruneau
VYNATA	vinata
KVL	col
DATSVN	dotson
ASTK	stec
HARMANVS	harmanus
PAPAY	papay
GNAGY	gnagy
JAYARAM	jayaram
BALYGA	baliga
KRYSVYJN	krisoijn
