DADGYVN	dudgeon
JVANA	juana
KAYA	kaya
MYRMAK	mirmak
SYMVNZ	simons
ADVNYS	adonis
ASKRYBNR	scribner
BALTAYS	baltais
GASKYN	gaskin
AMYHAY	amihai
NYGRA	nigra
GVH	goh
DYVYD	david
AVRLYNZ	orleans
SAKS	saxe
DYYALA	diyala
RYV	ryu
GRAH	grah
SYRYL	cyril
BRAHAM	braham
KRYST	crest
YASAR	yasar
LVRY	lori
FAYNK	finke
KVYST	quist
SYKY	siqi
ANTANAYTYS	antanaitis
BLVNSDVN	blunsdon
GASKYN	gaskin
KVKAL	kokal
PASKV	pasko
PVH	poh
LVAYNJ	luinge
ABRYNY	ibrini
VYLA	vila
ATKYNSVN	atkinson
AYSAN	eason
BRAYSLAV	berislav
VYDAD	widad
PAYK	pike
DVMYNYKAS	dominicus
LALYT	lalit
MAMFVRD	mumford
JYGANG	jigang
FAGANS	fagans
HARYNKAR	harincar
BYR	bir
TVNG	tung
MAYRYK	myrick
KALBYDA	kulbida
MVD	mod
MVRTAN	morton
AYSKANDR	iskander
AVTV	otto
KVL	col
SYTV	seto
KATRYNA	katrina
VYNKV	vinko
RAYLH	rayle
YVFYNGTVN	uffington
DYMA	dima
RYZVY	rizvi
KALYAN	kalyan
ALMKVYST	almqvist
GVRYK	gorik
SVAMY	swami
GARMZ	garms
VAYBY	wiebe
BARKSDYLY	barksdale
NAYA	nina
VYNTVN	winton
KVVAR	kovar
AYZDY	izadi
JVDY	judi
BDYRA	bdira
ALY	ely
KVMVRV	kumoro
NAVYA	navia
PVLV	polo
KLVTH	klute
BRYANT	bryant
BANTVN	banton
HAPKARFT	hopcraft
KAPANGA	kapanga
TRAYNTH	tryntje
ASTARTLD	startled
GVAN	guan
S'YDH	saida
KRANSVYYK	cranswick
PALSKY	polsky
KANYTZ	cunitz
SASKA	suska
LAYMAK	limace
ANAY	anay
PYRARD	pirard
ASTYL	steel
FVRLANG	furlong
KAGBVRN	cogburn
BRAM	bram
TRA	tra
ASTAKR	stoker
RAMY	rami
RVZYTA	rosita
ASPARNDAM	spaarndam
PYRAN	piran
GABARA	gabara
LYVN	leon
NYHALANY	nihalani
SAYRY	sayre
BALDVR	baldur
MVNTVYA	montoya
FVTYNVS	fotinos
KVBSA	kobsa
TRAVAJLYA	travaglia
TYSZA	tisza
KRAYDR	crider
KANDV	kundu
BRVZ	broz
DANKV	danko
GRYKV	greco
RABYDYAKS	robideaux
ALKS	alex
ANRAH	unruh
ALTANYN	eltanin
ASTARYNGR	staringer
BVRM	borm
LVRJYV	lorgio
BAYLZ	byles
FRNASYSKAZ	frnaciscus
VYDAL	vidal
PRYYVTY	priotti
KAMAL	kamal
