KVYYLYN	quillin
ASTRYTY	steriti
MYLASYS	milacic
BABYTZ	babitz
BRAVNYNG	browning
RAJ	raj
PARSANZ	parsons
PATVKSNT	patuxent
FLYKS	felix
KVRY	kory
MKDVNALD	mcdonald
BARTVN	barton
TYNG	tyng
HANKZ	hanks
ALDYN	eldin
KLYFTVN	clifton
FRAMSVN	framson
DRAVN	drown
BADZYAK	budziak
BRAM	bram
DAMYANV	damiano
AVLVSTAD	ulvestad
TRVYYJH	truitje
ASLVN	olson
MYNTVN	minton
LVNAN	lonon
ALSAN	olson
AVSYVN	oseven
LAZARA	lazara
KRVM	crom
ARVNAH	arunah
PAYNH	payne
KVYYNTVN	quainton
ANAY	anay
BAKSKA	bocska
FYGVRA	figura
GASTAVVS	gustavus
KRANSVYYK	cranswick
AYNTJH	eyntje
ALVYN	alvin
HRLAYNDYZ	herlindis
AKMAN	akman
KALAFVT	kalafut
ASTFANV	stefano
JYM	jim
MYKVLYK	mikolic
ASTRYM	stream
HVGAN	hogan
BRYAN	bryan
AKGAN	akgun
ALVARVS	alvarus
HARARY	harari
BASTYK	bostic
KAYRD	caird
FABYANV	fabiano
KVYL	coil
DYAMANTARAS	diamantaras
MATANA	matana
ASKY	skee
DAYVYN	divine
HVLKAMB	holcomb
ASTN	stan
JAKVBY	jacoby
RAMBV	rambo
VYMPJH	wimpje
DVRA	dora
GRAYYV	grieve
ASLVN	olson
AVGVRY	aogori
ALYN	olin
PRAYL	prael
LANTZ	luntz
AVHALVRAN	ohalloran
BVDLA	bodla
HAVVLA	havola
JAST	jost
GYVYN	gavin
ANALVG	analog
GRYST	grist
KASTRYKAM	castricum
JVRY	jory
DNVKS	denux
LAYND	linde
NVRA	nuri
BLANSDAN	blunsdon
YAP	yap
LANG	lung
SAVYR	sauer
BARVA	barua
DAMYVN	damion
DART	dart
LKS	lax
BVKSY	buxey
BADYG	budig
HYVVYT	hewitt
LYZARD	lizard
PVPAT	popat
MARGARYTA	margretha
FYDALGV	fidalgo
HRLAYNDYZ	herlindis
'BVDHABY	abudhabi
ASTVARD	steward
VATV	vato
ASTVART	stewart
VYVLA	viola
HALVB	holub
FAYNLY	finley
ANTVNY	antony
DVDAMANY	dodamani
GAMAL	gamal
FRAZYYR	frazier
KARYAGA	cariaga
AKYLAH	akilah
RVKAN	rukan
AKGAN	akgun
AYRAY	airay
PAYTR	pitre
GARSYA	garcia
KANYS	canis
KAYNY	caine
SVRAB	sorab
SVTV	soto
KRVB	krob
LAMBDA	lambda
BAVKVS	baukus
SVZALYS	susalis
HYN	hin
KYNYVN	kinyon
ADYH	adie
BAYLS	byles
FARAT	furat
KVBSA	kobsa
HVLM	holm
KASVN	kasun
RAV	rao
DAVVD	dawud
DAG	dag
AYVGNH	eugene
FRANKV	franco
ANVPAM	anupam
HVRGAN	horgan
FALKV	falco
VARTY	varty
KARY	kari
AMYTAVA	amitava
PATYL	patil
KVYSMAN	coisman
ARMATV	armato
RAV	rao
BARKVLV	barculo
RAY	rai
BYPYN	bipin
NAKAMVRA	nakamura
MARYTJY	maritje
S'YD	said
AKYLA	aqila
S'YD	said
ASBRYNK	asbrink
VARYANTZ	variants
VYLYNGZ	willing
PRABST	probst
