MVYNYHAN	moynihan
FLVDYN	flodin
BVLDVYJN	boldwijn
DAVAD	dawud
ANVN	anon
MALVNY	malone
AYNGL	ingle
SYNKLARY	sinclair
DARVN	doron
VAST	wust
GALPYN	galpin
HAYNLY	hinely
DVNAY	dunae
RABYN	rubin
AVKSVL	oxwell
DYB	dib
GANYSAN	ganesan
RVGVZA	rogoza
ALYN	elin
MANVLY	manoli
KARMVNA	carmona
BYVKRAFT	biocroft
AVTVLYNY	ottolini
KYLG	kilg
ASLAVK	slawek
FALTVN	fulton
KVRKAM	corkum
BRYTVN	breton
SYLK	silk
MANY	mani
DYZVN	dizon
HALAT	halat
AFTAB	aftab
GVRGAN	gorgon
MAYR	mayr
MAYK	mike
DAY	day
VAYA	vaya
ANTRYKYN	entrikin
MAYRYK	myrick
ALVYN	alwin
GVSTAV	gustav
FYDALGV	fidalgo
'LY	ali
BRVHL	brohl
MASARA	masaru
MYLVARD	milward
KRYSJH	krisje
BYKVN	bacon
ANDRA	andra
GVYL	goel
JVBAL	jubal
FAYNRTY	finerty
AVRKNY	orkney
ASMADJ	smadja
MANKVS	mancus
LARA	lara
GANATRA	ganatra
GVADA	gouda
KALVYN	calvin
AKL	akl
VATKYNZ	watkins
AVT	ott
BVYKV	boyko
SVRANA	surana
SAMANTA	sumanth
MVNTA	monta
ALYN	olin
GYFT	gift
RVNDA	ronda
HAJYR	hagir
KAYA	kaya
ALM	alm
HARARY	harari
LKS	lax
LVBV	lobo
NYMRAD	nimrod
KVMVRV	kumoro
ANSAR	anwar
SYMS	sims
YAMHA	yamha
GRYT	grit
AYFJ	ifje
RYVPKA	riopka
MAKAYVLY	macauley
KASAT	kasat
LANGDVN	langdon
SVZY	suzy
ARYK	erik
FRANSYSKA	fransiska
ALMVMAN	elmoman
MYLAM	milam
AMYKVS	amicus
ASTRYN	ostrin
FVRSAYT	forsyth
DHAMAR	dhamar
KLAYSVN	clayson
GVLVMB	golomb
VAYBY	wiebe
ASTNFVRD	stanford
