LAP	lap
MVKASA	mukasa
TAFTZ	tufts
HAFSAH	hafsah
BVS	bos
KVRP	korp
KYVNG	kiong
MKKAVN	mccown
JAYNVR	gainor
BRVTY	bruty
TVLA	tula
KAVS	kaos
MANYJA	manija
AZANA	ozuna
HAMPTVN	hampton
ALF	alf
ALSVN	olson
VATV	vato
LVDVVYKA	ludovica
VYNSTRVM	winstrom
DAK	duc
TYTMAS	titmus
ASNL	snel
SAKSYM	saxnem
DYMARS	demars
MARVYN	marvin
VYVKS	vieux
TRAYNVR	traynor
MARKVS	marcos
GVRVSAMY	gurusamy
BAND	bond
ANAKYN	anakin
HYVNGAN	hiongun
ZVRYSYKA	jurisica
PAYPR	piper
SVDAN	sudan
AVSBVRN	osborne
TRYSY	tracy
ALMVMAN	elmoman
BLAHA	blaha
HAVKYN	hawkin
BAND	bond
RADVF	radov
ASTAKY	stucki
BAJVA	bajwa
RVLFH	rolfe
DAVNYNG	dawning
KVYL	coil
ABRAMSVN	abramson
AVLA	olah
DAYVVN	dauwen
KASAMA	kasama
KVARTZYTH	quartzite
FVLKANYS	fulconis
DAHVK	dahuk
DYVYDYAN	davidian
LABKYN	lubkin
DASYVK	doseok
KYMVN	kimon
TVMYTYVS	tomatius
RAFA	rafa
RABYN	rubin
DYAZ	diaz
ALMAS	almas
SVRANA	surana
ANAKYN	anakin
DRAM	drum
RANKYN	ronkin
KLAYSVN	claeson
KARPLAS	karplus
VASYK	wasik
KARLKVYST	karlquist
TVNAR	tonar
PYVRYNTN	purinton
DADGYVN	dudgeon
KALKAN	kalkan
RAD	rad
BANKRAFT	bancroft
BVRAD	borud
FATYMA	fatima
TYVNYS	teunis
RABYJN	robijn
KRASYK	krasic
ZARA	zara
KVYALYK	kowalik
BVNYN	bonin
TYNG	tyng
YARVS	yaros
AYVLYN	evelyn
VYLDYNG	wilding
FLAYGYR	flygare
BVYKV	boyko
RAYDN	ryden
TALMY	talmy
PANKRAS	pancras
BAYLZ	byles
ASTRADR	strader
SVZY	suzy
DVRN	dorn
BYLYNGASLAY	billingsley
