KALYA	kalia
BALYGA	baliga
KYAT	kiat
GYTLYN	gitlin
PATRYZYV	patrizio
DYVYDSVN	davidson
TAPYK	topic
PRATVL	pratul
AL'YN	alain
JVHANSVN	johansen
GALYLH	galila
JABJH	jobje
GAMAL	gamal
SANDHV	sandhu
RYHANA	rihana
SYNKLARY	sinclair
ALVA	alva
VYVYK	vivek
LVRY	lori
DVBAY	dubay
PANDA	panda
SVRYN	sorin
ASTRYD	astrid
HAMY	hami
PANDA	panda
ANAZ	anas
MARYA	maria
RYJSVYJK	rijswijk
KRYSTYNA	kristina
KRYSJH	krisje
GYLRVY	gilroy
RAKVN	rukan
KALAFVT	kalafut
MYLVT	milut
GVSTAV	gustav
KAVLYNG	cowling
JVAN	juan
SAKSNA	saxena
LAP	lap
GASKYNZ	gaskins
JANK	junk
RASTY	rusty
'QYL	akil
GARAFALV	garofalo
AGVYV	agoyo
GAJNH	gagne
MANV	mano
HAVYS	howes
GRAV	grau
PARDY	pardi
PVGVSYAN	pogosyan
MVNTALBANV	montalbano
LAY	lye
MARKVYZA	marqueza
DANG	dong
AVRVM	avrum
ADYSAK	adisak
SVZALYS	susalis
LALYT	lalit
DYVAN	dewan
HAMARKVYYST	hammarquist
DYAB	diab
DVNA	dona
ADYNA	adina
ASKATV	scotto
SADYKVYH	saddique
FYGARD	figard
GRABNAR	grabnar
KVZV	kozo
ASTVARD	steward
TAPYV	tapio
KALVYN	calvin
DANA	dana
SYTYA	cetia
GYL	gil
MAVPYN	maupin
SYMAL	cemal
PYPGRAS	pipgras
JVAB	joab
SAYTJ	sytje
AKYL	akil
FLAYGYR	flygare
MAYV	mayo
MYRMAK	mirmak
GASKYNZ	gaskins
ALMKVYST	almqvist
SYSLV	sislo
KANTH	conte
LYDVYNA	lidwina
NAJYA	najya
LYMBVRG	limburg
BVNVMV	bonomo
FVNDAL	fundal
BALDVR	baldur
YAMN	yumn
NVLF	nolf
AYSY	ayse
ARPYN	arpin
D'A	dua
ALFARV	alfaro
