BARNAS	barnas
ANVS	enos
GYNKZ	genks
JYNAKYRAMAN	janakiraman
MARY	mary
AYNZ	inez
BANDZ	bonds
DVNATV	donato
HANKH	hanke
ASTVRR	storer
PVTYT	petit
AGATY	agate
TAMY	tomi
DVRYS	doris
KRYSTYNA	kristina
BLANSDAN	blunsdon
SYANV	siano
DVMYNYKAS	dominicus
VYNKV	vinko
ADNAMS	adnams
SYPRYANV	sipriano
MARGVLYVKS	margulieux
ANV	eno
AGYLA	aqila
LAYBZ	libes
RVNYT	ronit
LYVAYN	levine
KRVB	krob
SAYKS	sikes
LADVVYKVS	ludovicus
KATALANV	catalano
DVLYN	dolin
VAYD	wide
RAVYNDRAN	ravindran
SVDAN	sudan
DVNHAM	dunham
AVYRSA	aversa
DVRFMAN	dorfman
GLVRYA	gloria
ALYMA	ulima
AYVLYN	evelyn
NAYKVLAS	nicolaes
MYNTZ	mintz
MAY	may
PATRVKLVS	patroclus
KAVS	kaos
VYJBRAND	wijbrand
DVRYNDA	dorinda
LAY	lye
FYNSTAD	finstad
KVSTYS	kostis
PVLYS	polis
SVDYP	sudip
DAGAN	dugan
KATRYN	katrin
VAL	wal
KRYSVYJN	krisoijn
PVLK	polk
FLVR	flor
JANA	jana
AYNTLSAT	intelsat
MABAY	mawby
ADYH	adie
MKMANYS	mcmanis
AVMGA	omega
ASNYD	sneed
FVRSAYT	forsyth
NVDYNG	nuding
KAPRAL	kapral
HYNSVN	hinson
JANARDHAN	janardhan
TYMVR	timur
SYMVNH	simone
HANKZ	hanks
GRYST	grist
ABYNA	ebina
KVNVPKA	konopka
BARTVK	bartok
LVRY	lori
RAFAL	rafal
LAK	loc
LAYVRYTSN	lauritsen
PAPLY	popli
RAMBV	rambo
KVZV	kozo
DYMYTAR	dimitar
TVLAY	tully
MYLVARD	milward
MVNTAGV	montagu
LADVVYKVS	ludovicus
LAVANDH	lawande
BYSYN	basin
JVDAS	judas
SABRAMANYAM	subramaniam
ATYYA	atiya
ADNAMS	adnams
GVLAND	goland
DANA	dana
ASLAVK	slawek
SASZH	sasze
