SYNYBALDY	sinibaldi
RVSYALA	rotiala
KLVTH	klute
ASPYRYNG	spearing
RAMVLVS	romulus
MVNKZ	monks
ARNVLD	arnold
MVRYN	morin
FLARDYNGA	flardinga
PVLK	polk
HAFS	hafs
FVJY	fuji
MAMFVRD	mumford
VYGJYN	wiggin
HAVKYN	hawkin
MYRMAK	mirmak
AYSAN	eason
RVYAL	royal
ZALAN	zalan
FAYK	fike
GARSYA	garcia
S'YDY	saidi
HAVDVN	hawdon
ANVVY	envoy
PLYSKYN	pliskin
ANVAR	anwar
DAY	duy
BAV	bao
PVLYS	polis
DVLYN	dolin
BRVZ	broz
VAYA	vaya
LVDVRF	ludorf
GVRV	guru
TVSV	tuso
KNVFYNKH	knufinke
ASKAYT	eskite
GVNY	gony
MVNK	monk
AMYR	amir
KALAFATAS	kalafatas
GANSVN	gunson
AYLR	iler
JASTYN	gustin
LABDVN	labdon
ALANGKV	elangco
BARKSDYLY	barksdale
KVGVMA	kogoma
BVNVMV	bonomo
ANVAR	anwar
ATYNZVN	etinzon
MADABA	madaba
ASTYPLZ	staples
JVNYVR	junior
DVRYNDA	dorinda
BARNABY	barnaby
PANDA	panda
GRYNHAM	grinham
BAND	bond
HANY	hani
KYNZMAN	kinsman
ANSYH	anisa
GAYDV	guido
MYLMAN	melman
AMARAL	amaral
HYRVTA	hirota
LVFASV	lofaso
FLAYGYR	flygare
MALTYN	maltin
VYDAL	vidal
FYDVR	fedor
ZVRYSYKA	jurisica
'BDAL'ZYR	abdulaziz
GVDRAN	gudrun
HVA	hua
RYVARD	rivard
SVNJA	sonja
BALMA	balma
SABYNY	sabini
RADVA	radwa
TVYN	twin
BVNGARD	bongard
ANVN	anon
FYDVR	fedor
VYZNAND	wijnand
PAKS	paks
AVBRTAS	obertas
JASTYN	gustin
PRAHL	prahl
JYA	jia
APRYL	april
ASTARGYL	sturgill
FAYNLY	finley
MATA	mata
SVHM	sohm
RAM	ram
HARDYSVN	hardison
GYLYTA	geleta
SYRVYZ	sirois
AJAY	ajay
