AYMAN	ayman
YVK	yok
ALDZ	olds
ARMATV	armato
PVLYYAM	pulliam
AYDYD	aidid
'BDVL	abdul
DAYVVN	dauwen
MANYKS	mannix
LYPKYN	lipkin
FLYMYNG	fleming
HALTZ	holtz
ASLVP	slope
AVKYNZ	oakins
KANT	kant
ANDRYA	andrea
SYMARD	simard
ARBYL	arbil
AVYNZ	ewins
KADMVS	cadmus
NARDY	nardi
ASTABRT	stobert
ASTRLYNG	stirling
ADARA	edara
GAYA	gaya
DANYS	danis
VYMAN	wyman
TANTVN	tanton
NARDV	nardo
MAYR	mayr
ZARYH	zaria
SYHSVBHVN	sihsobhon
AKTVN	acton
BVZVVA	bozuwa
RAVYNDRAN	ravindran
BVNYN	bonin
VYSKA	visca
TRAYNTH	tryntje
LYA	lea
MKGAVYN	mcgavin
BARVNYA	baronia
LADASKY	ladasky
SYANG	siang
KRYSTAL	crystal
DRVDYS	drudis
VAYN	vine
AMVS	amos
BASTYVN	bastion
FAGANS	fagans
MVNTYJV	montijo
ASTANGYR	stangier
YAMYNAH	yaminah
BVAY	buay
KVMPTVN	compton
SAKARY	sakari
HYRD	hird
BLAL	blal
NYVMAN	neuman
YARVS	yaros
MARGARYTA	margretha
GVRYK	gorik
RVSYALA	rotiala
ASTRYTY	steriti
HASYK	husik
KVLASA	kolasa
RANA	rana
SVNG	sung
BASTARD	bastard
KAMHVLZ	kamholz
FABYANV	fabiano
VYKTVR	victor
PARTVN	parton
LVND	lund
FRYNK	frink
PZARAYS	pezaris
HABA	haba
LAVZAK	lauzac
ASTRYNJR	stringer
HAV	haw
HYVKYNZ	hawkins
AVDRA	audra
JANARDHAN	janardhan
AMYTAVA	amitava
KAVS	kaos
BYNVD	binod
KVSTA	costa
MAV	mau
DYVYDYAN	davidian
KALBYDA	kulbida
ZAGAR	zagar
LAST	last
KYSLV	kislo
AMBAR	embar
'BVDHABY	abudhabi
RAFAYLY	rafaeli
NAVAR	nawar
ALKAN	elkan
KASYNSKY	kosinski
MYLASYS	milacic
AVKYNZ	oakins
