NYKVLA	nicola
PLASTYNV	plastino
RYVPKA	riopka
DVARTH	duarte
KVYYT	quitt
VAYBY	wiebe
DAYRKTVR	director
TAYRAY	tierie
LASKVS	laskos
AYALA	ayala
BRYYTVN	britton
VANG	vang
BYRK	birk
HALM	halm
JVDY	judy
ASTYL	steel
BVZVVA	bozuwa
KVRZAYN	corzine
ANDRYS	andris
BADYN	baden
KAYNY	caine
ALYASVN	eliason
BANTYNG	bunting
HVLRVYD	holroyd
AYNGMAR	ingemar
ARYKA	erika
PANDZ	ponds
MYNTAKVA	mintaqah
ANVKVL	anukul
BYLYNGASLAY	billingsley
BALDYNGTVN	baldington
MAGAGNA	magagna
ASTYP	steep
LASTRA	lastra
LYVN	leon
BALD	bald
KVMVRYTA	komorita
KATZ	katz
DAG	dog
VYMPJY	wimpje
ADYL	adil
SVKVL	sokol
KARTY	karty
KVMAR	kumar
KALYAN	kalyan
ATV	oto
KVYSMAN	coisman
AVRBN	orban
KARLAYL	carlile
AFTAB	aftab
'QYL	akil
PYVRYNTN	purinton
AMAND	amand
LVNAN	lonon
DYKSN	dixon
ASTARYNGR	staringer
RAMA	rama
'ALY	aali
DYVYS	divis
YVRK	york
AVBYD	ubaid
TVYT	toit
PVLGAR	pulgar
PAYNTVN	paynton
LYBRYK	librik
KVAYMAN	coeyman
GATLYN	gatlin
DVVAYKYNK	duickinck
ZYGMVNT	zygmunt
PARK	park
BAYLS	byles
HARATZ	haratz
MARK	marc
LYNDL	lendl
KART	kurt
LAMBDA	lambda
HAPKYNZ	hopkins
BVNYTZ	bonitz
AMYR	amir
PRAYL	prael
BRYANT	bryant
GASTA	gosta
RAYDJ	ridge
KVAYNTVN	quainton
MYNA	mina
FARKAS	farkas
HRNSBAY	hornsby
PRVTVS	protus
VYSPY	vispi
HVYYSKN	huisken
VARGAS	vargas
LYRYK	lyric
AKYN	akin
KANG	cong
NYVARK	newark
MAV	mau
MYRTY	mirti
VYMPJY	wimpje
ASTYRN	stearn
TAYRAY	tierie
