VYSPY	vispi
ABRAHYM	ibrahim
HAKABAY	huckaby
ASKYN	skene
PLANK	plunk
ASTRLYNG	stirling
PVYSL	poisl
ALMYNTAGAH	almintaqah
PAYVLTJ	paultje
AVN	aun
VYJBRAND	wijbrand
TYTAY	tytie
AGVYV	agoyo
DANLVP	dunlap
MKGVYRK	mcguirk
KAYLAS	kailas
KANYG	konig
DYVYDSVN	davidson
BABAR	babar
RAGNAR	ragnar
ARM	arm
GVRVSAMY	gurusamy
BVNVMV	bonomo
DYKV	dico
BVLVS	bulus
FALKV	falco
CYBANSKY	cybanski
KARBAJAL	carbajal
GALYZYA	galizia
BAYRN	byrne
AARVN	aaron
BANYTV	bonito
BVSTRAM	bostrom
BABVRAV	baburao
AYR	air
KVSVGH	kosuge
SARNA	sarna
ASPYTZR	spitzer
GALYZYA	galizia
BABA	baba
LVNZ	lunz
PARSVNS	parsons
NYKALAS	nicolas
KALB	kalb
ASTAKS	stocks
SYNKLARY	sinclair
ADRY	adri
JAYN	jain
JYVRDANV	giordano
BASTYK	bostic
DRAM	drum
MANK	monk
KVAYMAN	coeyman
SABRAMANYAN	subramanian
KVTRVNYV	cotroneo
MARKV	marco
LVMAS	lomas
MAKARAYG	macaraeg
ZARA	zara
RAKVN	rukan
ASTVART	stewart
SAYRY	sayre
PANYKV	panico
MATANA	matana
ARHARD	erhard
HAGAN	hagan
FYNSTAD	finstad
GRANDASTRVM	grundstroem
MVNTALBANV	montalbano
RANA	rana
AMNA	amna
VYTAKA	vitaca
HARARY	harari
BARKAY	barkai
RVZYTA	rosita
S'YDY	saidi
HYVM	hume
HYYN	hean
ASNV	snow
FYLYAS	filias
HADVBA	hudoba
BARK	bark
SAYTV	saito
NYMRAD	nimrod
BASKAR	baskar
PYZYALY	piziali
PVHAN	puhan
MARYN	marin
BALYGA	baliga
ASTYANSN	stiansen
MANSYL	munsil
DVSTY	dusty
AVNAYZ	unaiza
MADYGAN	madigan
ASNL	snel
AYN	ain
KASTA	costa
ARYKA	erika
LANDGRYN	lundgren
ANTRVSYV	antrosio
