ANPYNGKV	unpingco
PRAYL	prael
AMA	ama
SVRANA	surana
ASKYN	skean
SASLAV	saslav
ASKP	skep
'ADL	adel
AMBRVSYV	ambrosio
DYPAK	dipak
ASMYTSVN	smithson
TVMYTYVS	tomatius
GVRASPY	gorospe
ASPYRYNG	spearing
RAYDAH	raidah
ZYGMVNT	zygmunt
FYN	fin
BALDVR	baldur
MANVLY	manolo
FVRK	fork
HRLAYNDYZ	herlindis
LYAV	liao
ARM	arm
MVTVRZ	motors
FRYTZYVS	fritzius
LVMAS	lomas
ALTV	alto
BVZKART	bozkurt
KYLG	kilg
BASYLYVS	basilius
PLYSKYN	pliskin
GYNTVN	ginton
KYVMR	kumar
SVART	swart
TAFT	toft
MAK	mak
MYZYRA	mizera
MASKYAS	mascias
ASTRY	stray
GATLYN	gatlin
MATLV	mutlu
YVFYNGTVN	uffington
BADYN	baden
LYDVR	lidor
BRYANT	bryant
KLAYTVN	clayton
DAYVVN	dauwen
DYVYDSVN	davidson
YVRMV	yermo
AYNGL	ingle
HYGARTY	hegarty
RADV	radu
KVANG	kwong
MVN	mun
CYBANSKY	cybanski
DYLYP	dilip
KYVSMATV	kusumoto
AYNGLS	ingles
KVAST	kwast
KAGBVRN	cogburn
ZAZA	zaza
YAMAHA	yamaha
MABANAG	mabanag
MAVN	maun
FYGARD	figard
AVNAYZ	unaiza
LAYVRYTSN	lauritsen
MARTYZN	martijn
DANG	dong
LANDRY	landry
RAFA	rafa
VYKTYM	victim
KATLYR	cutler
RADHA	radha
RAN	ron
NYVARK	newark
SYKY	siqi
ASPANGLR	spangler
KAKY	kaki
MYNGV	mingo
KRYSVYJN	krisoijn
GRAG	grog
PAL	pal
AVMGA	omega
NYMRAD	nimrod
BRVNYYV	bruneau
DABAS	dubuc
BARK	bark
NYNSTAR	ninstar
GVANYAV	guanyao
ASKLTVN	skelton
KAPYLA	kapila
LAYVLY	lively
DRAYNH	draine
BRAN	bran
ASLATR	slater
AYRL	earl
ASKALY	scally
AVZBRN	osburn
BRVKAV	brokaw
