MYR	mir
SYMYNGTVN	symington
BAYLZ	byles
TARVB	tarub
ASKVAYRL	squirrel
ARM	arm
KYD	kid
FALTAK	foltak
DAV	dov
AMAND	amand
JVANYTA	juanita
TAYSN	tyson
ASMYRNV	smirnov
GVANG	guang
KRVPYK	kropik
BADVYYN	bauduyn
RAMVS	ramos
KYMVN	kimon
BRVKAV	brokaw
PYYRY	pieri
LVRA	lora
BYNVY	binoy
BRYJ	brij
ANDR	andr
SANG	sung
GAN	gan
JYA	jia
DVBRYZ	dubris
MARTYNZ	martens
DRVDYNG	druding
ASTVARD	steward
RYTYSGRT	ritsgert
TABVK	tabuk
DAYVVN	dauwen
GVYKARYS	geocaris
LYVNARDV	leonardo
SVNG	sung
VYLADVT	viladot
MABANAG	mabanag
MVYR	muir
BASYL	basil
DASYVK	doseok
AYZDY	izadi
TAT	tat
ALYVT	eliot
SVKVMAR	sukumar
AYNDAYRSN	indiresan
JVDAS	judas
AVKSVL	oxwell
AYCYRV	ichiro
GRAD	grad
FAGANS	fagans
ASTAR	starr
KALVYN	calvin
KAMALA	kamala
GAVYNDAN	govindan
GARAFALV	garofalo
SVANK	swank
JANG	jong
DYAB	diab
NAM	nam
AMY	ami
RVJAS	rojas
MARY	mury
AMARDYV	amardeo
DHAMAR	dhamar
BRVYNYNG	bruening
TAYRAY	tierie
PVRANYK	puranik
YVFYNGTVN	uffington
PAPLY	popli
MS'VD	masud
ALFANSV	alfonso
JAKVMYNTYH	jacomyntie
DRAYNH	draine
LVFASV	lofaso
DRVNY	drune
KAYN	kain
SASZH	sasze
DYKYNZ	dykins
MAYSAL	missal
YAGLA	yagla
BAVDYN	baudin
VYLDYNG	wilding
PALVMBV	palumbo
SVMA	soma
AMYLY	emily
MVRALT	muralt
PRAPYS	prupis
KANG	kong
AYZDY	izadi
GAVYND	govind
ASLYMAN	slimane
LVN	lon
SARDV	sardo
FYLYAS	filias
JASTYN	justin
AMYT	amit
NAZARYTYAN	nazaretian
'LAALDYN	alaaldin
