BASMA	basma
KAVYTA	kavita
HYNZ	hinz
ADKYNZ	adkins
DVNYNY	donini
AND	and
MATAKV	matako
ASTVARD	steward
BVAY	buay
JASTJY	justje
ASLYMAN	slimane
VAYZ	wise
VYLKYNSVN	wilkinson
ARVAL	orval
KARMVDY	carmody
VLADAN	vladan
TAYLBRY	tilbury
GRAV	grau
RYTA	rita
SANK	sunk
VYGSTVN	wigston
AMVRY	amory
DVRAPT	durupt
GADBVYS	gadbois
MARTYJN	martijn
RVYZ	ruiz
YVNGSAP	yongsup
AKYTVMV	akitomo
GVH	goh
PLYSKYN	pliskin
ZVVAYTA	zuvieta
AVLY	olli
RVNDA	ronda
PAYK	pike
JYGANG	jigang
RAVYNDRAN	ravindran
SYKVRA	sikora
NAVYA	navia
AVALD	ewald
ABYAB	abiab
VYGTVN	wigton
DVLMAN	dolman
MYTV	mitu
ALYVT	eliot
MADYS	madis
LYVYVS	livius
ASTVART	stewart
ANAS	anas
MVBAY	mawby
KRYSTYJNTJH	kristijntje
GALY	gali
BANGARTZ	bongarts
BYKSLR	bixler
FVRSAYT	forsyth
LYNDZ	lynds
KYNARD	kinard
SYANG	siang
GADYL	gadil
DAVNYNG	dawning
AMARAL	amaral
KAVS	kaos
ANTRYKYN	entrikin
HADVBA	hudoba
PVRKV	porco
JVANA	juana
DAVSVN	dawson
SKARP	scarp
SANDMAN	sandman
ASTYRN	stearn
KALHYNH	culhane
AVMGA	omega
DVYNYNG	duening
ASTVRY	storey
AYNDAYRSN	indiresan
BRANDY	brandi
RADVA	radwa
GARSYA	garcia
TVLYV	tulio
KARBALA	karbala
PYZVLYTV	pizolato
KAMPAGNA	campagna
ANALVG	analog
HYVKYNZ	hawkins
DYAMANTARAS	diamantaras
TAMAS	tamas
BVNYN	bonin
ASTRLYNG	stirling
RAFYKYV	rafique
AND	and
PLASTYNV	plastino
ALSVN	olson
'DYL	adil
KASVN	kasun
JYGANG	jigang
SVKVMAR	sukumar
MAYRZ	myers
LVRY	lori
BAJYK	bajic
LAMBARD	lombard
ARMSTRANG	armstrong
NYVKVYST	newquist
SASKA	suska
KVRTH	korte
KYTAMVRA	kitamura
DVRAND	durand
MVNTVYA	montoya
FAVAZ	fawaz
MAYSAL	missal
