YARVN	yaron
GVYYLYM	gwillim
ANANDA	ananda
JYM	jim
AYTCVN	itchon
KYSVN	cason
LVKAS	lucas
VYND	wind
ASTYPLZ	staples
RABKYN	rabkin
JVNAS	jonas
KVYST	quist
JYSVZ	jesus
HADVBA	hudoba
KRYSVJYN	krisoijn
GRAF	graf
KARL	carl
BLAL	blal
AVHRMN	ohrman
AYNT	aint
KLAYN	kline
LAVZAK	lauzac
AVRBN	orban
AYDVAYSVZ	ludovicus
KAYAK	kayak
BYLYNSKY	bilinsky
BVYRKVYL	boerkoel
DYL	dil
AYRL	earl
TAD	tad
ASPYR	speer
JVRAH	jurah
SAGA	suga
AMVS	amos
BANYTV	bonito
MYLKS	milks
ASYF	asif
DAYR	dayr
FRANSYSYVS	frnaciscus
GAVYND	govind
'LYMA	alima
AYMAN	ayman
MARLA	marla
ANV	anu
LYZARD	lizard
SVR	sor
GVYL	goel
YAMN	yumn
SAGARS	sugars
JAYARAM	jayaram
ARGAN	organ
VAYLDR	wilder
JYNTVN	ginton
SVMA	soma
DYKSN	dixon
NAYLZ	niles
DRAP	drop
TVNGA	tunga
GVLVMB	golomb
KAMALA	kamala
ALVYN	elwyn
DANYS	danis
ANTVNY	antoni
FVJY	fuji
KLATZ	klotz
TYTMAS	titmus
JANG	jung
SAYM	syme
BVSA	busa
BADZYAK	budziak
KVYNTANA	quintana
TYMYAN	timian
GAYMVND	guimond
GALPYN	galpin
LAHYJ	lahij
DAVNYNG	dawning
ABY	ebe
MABANAG	mabanag
DYAMANTARAS	diamantaras
PYL	pil
SVZY	suzy
JYRARDYN	gerardin
KAYRD	caird
PAKALA	pakala
DAHVK	dahuk
MVRLAN	morlan
RVSYALA	rotiala
KLAVDYA	claudia
ASK	ask
AYNGYJD	engaged
BARVA	barua
RVNY	roni
LAMBVRN	lamborn
SANTYK	santic
ASLYV	slave
JAYANT	jayant
ALZ	elz
MANV	manu
ANVVY	envoy
RVSLYN	roslyn
VYVYANH	viviane
MVNTANV	montano
FRANSYSKA	fransiska
KYNGSFVRD	kingsford
KASTA	costa
MKRAYH	macrae
MATVLA	matula
RAFALKV	rafalko
RAVYNDRAN	ravindran
FARAT	furat
BRATYNA	bratina
VARYANTZ	variants
DAVN	down
DVBRYZ	dubris
RYGV	rigo
SYMPLYSYTY	simplicity
DRVR	dror
VAYL	vail
KVAST	kwast
HALTZ	holtz
FARAT	furat
MYLMAN	melman
ANTYLA	antila
TAYLBRY	tilbury
TYV	tio
GVYYLYM	gwillim
ASLVP	slope
DVGAN	dugan
TRVKS	truex
HARRYG	harrig
AMVS	amos
DVNHAM	dunham
BARYAKS	bariaux
DVSTY	dusty
BANDZ	bonds
KVBSA	kobsa
RVNDA	ronda
AYMVN	eamon
LYMYNG	liming
BAKAYA	bakaya
MARYVS	marius
TYTMAS	titmus
VYSKA	visca
LANDRVM	landrum
GRAG	grog
SAVYR	sauer
R'NA	rana
KYNZMAN	kinsman
DYNT	dint
SYTJY	sytje
ANYJMA	enigma
AYSLYK	icelic
