KVHAN	cohan
BALYGA	baliga
SAFT	soft
GRASKYN	gruskin
MARVYN	marvin
SVLD	sold
FVNDAL	fundal
BARKAY	barkai
KRVB	krob
ZAZA	zaza
PAYK	pike
SYNDRH	sindre
JYNTVN	ginton
DRYV	drew
VYKRAM	vikram
ASTAKR	stoker
JANG	jong
SAYTJ	sytje
RVNDH	ronde
KVYRYN	querin
NYNJA	ninja
AYLVT	eliot
LYAV	liao
ARNVT	arnot
RVSYALA	rotiala
AVTV	otto
RAFAL	rafal
ALKYNGTVN	elkington
LYNDZ	lynds
ANAGRAM	anagram
NAGASAKY	nagasaki
JABJH	jobje
ALYVT	eliot
VVLTRNYNG	woltering
ALYMA	ulima
DAK	doc
DAMYNYKAS	dominicus
KAKY	kaki
AYSTMAS	isthmus
ALVAN	alwan
FRNASYSKAS	frnaciscus
AVSYZ	oseas
BRAY	brie
HARPVLD	harpold
SAMGYN	sumgin
MARTYZN	martijn
DVBSVN	dobson
ABVLYN	abolin
HAVARD	havard
BVRM	borm
DVSKV	dusko
LYZARD	lizard
ALVYN	alvin
GVYYN	gwynn
MARYTJY	maritje
'AYMN	ayman
LVPATKYN	lupatkin
AL'YN	alain
LANKA	lanka
LVMBARDV	lombardo
BAND	bond
SYSK	sisk
RAFAL	rafal
DAYR	dyer
AVRYGA	auriga
LAYL	lyle
RABYV	rubio
DVGAN	dugan
GVPALAN	gopalan
ZVRYNK	zurink
RABYN	rubin
ANRYK	enric
HALAT	halat
HVDAYDAH	hudaydah
HAYN	hain
YVMN	yumn
AVGVSTYN	augustyn
MATANA	matana
MYLKV	milko
BAYDA	bayda
GASTAVVS	gustavus
LYVYVS	livius
AYK	aik
KARBAJAL	carbajal
VYLASKV	velasco
FRAMSVN	framson
MASATV	masato
KRVM	crom
YVNAL	uenal
JAN	jun
KATALANV	catalano
JANA	jana
AYNTLSAT	intelsat
FAYZA	faiza
ASTV	stew
VARN	warn
VYLDYNG	wilding
MVNTALBANV	montalbano
DVYNYNG	duening
GARSYA	garcia
ADRY	adri
ARBY	orbi
DYAB	diab
ASPYDN	speden
MARK	mark
MYLV	milo
KYSLV	kislo
LASKARY	lascari
VAST	wust
ASKRYV	screve
DYAMANTARAS	diamantaras
ASCVYLAR	schuyler
YARVS	yaros
MARTYNZ	martins
FVLKANYS	fulconis
HAVN	hawn
KARVLYN	carolyn
HAYVKZ	hawkes
MYKVLYK	mikolic
BLVNSDVM	blunsdon
FRANKV	franko
KLAVDY	claude
GAMBYNV	gambino
ADANA	adana
SADYVP	sudupe
VYVA	viva
ALMAS	almas
LYDYA	lydea
BARKRAFT	barcroft
ADNAMZ	adnams
ARHARD	erhard
MVRAN	moran
SARVATH	sarwate
ANAY	anay
DAVT	dout
GVRAV	gorav
LADVYG	ladwig
BAYRTYH	baertie
HADRAMAVT	hadramawt
ZAYRA	zaira
ASTAG	stagg
JAYN	jain
BYNVD	binod
PVYV	pouw
TVM	tom
HRNSBAY	hornsby
DVRN	dorn
SAMYT	sumit
JYSVZ	jesus
AYNZ	inez
BLAHA	blaha
SVAN	swan
MVNTAGV	montagu
KYBV	kibo
BANYTA	bonita
RVZYTA	rosita
DVRFMAN	dorfman
ASTNSRAD	stensrud
BRYN	bryn
MVRLAN	morlan
APLYN	aplin
LABDVN	labdon
HARALD	harald
ASMYLY	smyley
ASPLYNTR	splinter
PVZYVS	posius
ANV	anu
SANG	sung
ASMADJ	smadja
S'YDH	saida
SVNA	suna
'QYLA	aqila
DVBRYZ	dubris
AYMVN	eamon
ASPR	spur
BANYTV	bonito
MVNAKV	monaco
ASKYN	skean
PAKVAT	paquet
ASNV	snow
S'YDY	saidi
BRYGVY	bryguy
VYNTJH	wyntje
FATYMA	fatima
LVYD	loyd
AMAL	amal
SYLVA	silva
LANKA	lanka
TVNY	tony
KAV	cao
VYVKS	vieux
ANTVNY	antoni
BAZBY	buzby
ZARYA	zaria
BANDZ	bonds
MANJYT	manjit
BYVKRAFT	biocroft
SYKVRA	sikora
ANTVNYVS	antonius
LAYKZ	likes
SVAN	swan
JAYANT	jayant
LASKALA	lascala
GALYLH	galila
SVL	sol
KAKTVS	cactus
HYNTVN	hinton
ASLNGZVALD	slangsvold
BARVNYA	baronia
AYLYNG	ayling
HYNZ	hinz
LABKYN	lubkin
