GANYSAN	ganesan
ADMYRALZ	admirals
LYNDL	lendl
AVBYD	ubaid
LALKYN	lulkin
TRVKS	truex
FAYNLY	finley
MARSY	marcy
MARYTJY	maritje
KVYNT	quint
BYG	big
SYN	sin
PRYSYNG	pricing
KANYA	kania
SVLYTAS	sotilas
ARVAL	orval
ASTAPLYC	stuplich
SVBHANDV	subhendu
KAKYVR	kakure
KVAYNTVN	quainton
YARMAN	yarman
VYLADVT	viladot
TVDAR	tudor
FVNYVK	foniok
PARSANZ	parsons
RAFALKV	rafalko
AYGV	igoe
KAMHVLZ	kamholz
MARANY	marani
RADRAMVNY	rudramuni
LANKART	lonkart
ALSVP	alsop
HALY	hale
FAGANS	fagans
BARKRAFT	barcroft
HVLM	holm
SAYTV	saito
KAMSKAYA	kamskaya
ALMVMAN	elmoman
PASKV	pasco
BRYNK	brink
KARLKVYST	karlquist
FLVYD	floyd
GNVSYS	gnosis
NANDVANY	nandwani
BAYDA	bayda
AYNGL	ingle
BLANZDVN	blunsdon
BVDRA	budur
KRH	kre
HYNZ	hinz
DYLYP	dilip
ARMAND	ormond
ALMYNTAKVA	almintaqah
PYPVNY	piponi
PANAS	panas
RAVT	rout
ASKAVN	skaven
MATAR	matar
HYTZ	hitz
SVLYS	solis
HARARY	harari
HAVN	hawn
TVNY	tony
ANGLASMA	engelsma
BAKYR	baqir
'LYMA	ulima
ASRAT	israt
KRAYJ	craig
HVLM	holm
KVDY	cody
DANALD	danald
LAFGRYN	lofgren
PVGA	puga
DVBRYZ	dubris
LANTZ	luntz
TAMAS	tamas
MVRAVAN	moravan
ASTYK	astik
NAGASAKY	nagasaki
SYPRYANV	sipriano
LVRY	lory
DANKV	danko
RASTYN	rastin
KLVTH	klute
KALVYN	calvin
LYNGAS	lingus
SALMVND	salmond
HVRKAN	horkan
ALYVT	eliot
GARTYN	gartin
KRYSTAL	crystal
KANAKAKVRN	kanakakorn
RAYMVND	raymond
AFZAL	afzal
LVRY	lory
KANYTZ	cunitz
LYAM	liam
TAFTZ	tufts
GRAHAM	graham
ASVALAP	aswalap
AYMVN	eamon
AYCYRV	ichiro
MVBAY	mawby
FYSK	fisk
TAY	tai
BANKRVFT	bancroft
SYRVS	cyrus
BARY	bari
ADANA	adana
DVRAPT	durupt
JVNYVR	junior
PVRTNVY	portnoy
VYMPJH	wimpje
BAY	bai
PYVRYNTN	purinton
JYM	jim
HAYNZ	hynes
NVNYS	nunis
RAKVN	rukan
PYL	pil
DYLAN	dilan
SYNA	cena
BARBAS	barbas
MVRYSVN	morison
APRYL	april
ASTYSY	stacey
KYNYVN	kinyon
ZAKVMYNTAY	jacomyntie
JYNAKYRAMAN	janakiraman
PLANK	plunk
HYLSVN	hilson
ARFYVS	orfeus
VAL	wal
BRYSTVL	bristol
