KYD	kid
MYLYND	milind
DVRYNDA	dorinda
PANDYAN	pandian
HVRYV	horio
JAKVBJH	jacobje
BABVRAV	baburao
LAYRD	laird
KYVSMATV	kusumoto
KRYSVYJN	krisoijn
ARHARD	erhard
VYN	vin
MAVBY	mawby
KARTYS	curtis
BRVZ	broz
'LYA	alya
BYFRAST	bifrost
ABVBA	aboba
KAV	cao
SABRAMANYAN	subramanian
VASYT	wasit
SAP	sup
NYMRAD	nimrod
AYLYNG	ayling
HYSLVP	hyslop
PAKS	paks
AYNVN	eynon
KVYSMAN	coisman
BVDY	budi
CYBANSKY	cybanski
JANARDHAN	janardhan
MVRLAN	morlan
PVH	poh
RVGALSKY	rogalsky
PYYRY	pieri
VAYD	wide
PADVLA	padula
JYVVYL	jewell
HVDAYDAH	hudaydah
SAVAN	sawan
JYVRDANV	giordano
BYLHAR	bilhar
JVNYN	jonin
RAYBLT	rybolt
JAGV	jago
SYLA	sela
DVDAMANY	dodamani
LVJYK	logic
MAYSAL	missal
PANDA	panda
HAMAH	hamah
TRYVLV	triolo
MAHA	maha
BRVYNYNG	bruening
BARD	bard
DRYDJY	dridge
GRANDASTRVM	grundstroem
LYVNVRA	leonora
LYDYA	lydea
APRYL	april
ASTRYDR	strider
HAYZ	hise
KANDY	kandi
AVDRA	audra
BYAVYS	beavis
FYNSTAD	finstad
ASTABRT	stobert
BADZYAK	budziak
FRAYDMAN	friedman
FLVYD	floyd
DAYLVN	dillon
AVSYVN	oseven
DARBY	darby
ASPARZA	esparza
BALTAYS	baltais
PADVLA	padula
SVBHANDV	subhendu
PRAHL	prahl
BYG	big
AVSTRANDR	ostrander
LAZARA	lazara
ASKRYBLYNG	scribbling
HYRAY	hirai
DAS	das
TKS	tex
GAMBYNV	gambino
MANKS	monks
ALTANYN	eltanin
TAFT	toft
LVKV	loco
BVYRKVYL	boerkoel
BAD	bud
BARTZ	bartz
GVRVSAMY	gurusamy
AYLYS	eyles
KVYL	coil
'ADL	adel
ASTALKH	stolcke
MANDAR	mondor
MABAY	mawby
KYN	kin
ASTYN	stian
BAPTYST	baptist
HAVTYN	hawtin
ARDYS	ardis
BAVDYN	baudin
FRNASYSKAS	frnaciscus
MYAYNDRT	meindert
MARYV	mario
TYVNYS	teunis
RAGATZ	ragatz
DVNATV	donato
GASKYN	gaskin
HYTZ	hitz
ABH	abe
LYVYVY	levavy
AYNGLS	ingles
MANRV	munro
VYZNAND	wijnand
NYMRAD	nimrod
RVGALSKY	rogalsky
BARKASFYLD	barksfield
ASMYLY	smyley
KVRBYN	corbin
SAMZ	sams
MARAZAS	marazas
YANSVN	yanson
LANKA	lanka
FALTVN	fulton
BVSTVN	boston
VYVYK	vivek
RVNGV	rongo
AYM	aim
LVSYTV	losito
AKMAN	ekman
BAYLS	byles
PAYTR	pitre
SASZH	sasze
SASZH	sasze
TRVYYJH	truitje
BRAVV	bravo
ANAS	anas
FADL	fadl
GADBVRY	gadbury
AFYF	afif
RYV	ryu
AGYL	aqil
