LAMBARD	lombard
VARDY	vardi
MARKVM	marcum
PRANAV	pranav
HARATZ	haratz
ALYASVN	eliason
LVSY	lucy
LYANG	liang
BYTZ	bitz
ANDRA	andra
DVMYNGV	domingo
GANG	gang
AQBAL	ikbal
DRAMATYS	dramatis
NYN	nin
MYTV	mito
ALYVA	oliva
AYSLYK	icelic
BARTVK	bartok
GAYA	gaya
NVRDT	nordt
ALKS	alex
KYNSVN	kinson
MALVNY	malone
LYMBVRG	limburg
KVBYLAH	qubilah
LANY	lani
ABVLYN	abolin
JYNAKYRAMAN	janakiraman
MARV	marv
LAPYDARY	lapidary
LVPATKYN	lupatkin
BYAN	bian
RYDKVYST	rydquist
ASTVART	stewart
TVLANY	tolani
ABH	abe
NYDA	nida
MVSY	musa
KVAAYNTN	quainton
FAVZY	fawzi
ASKVAYRL	squirrel
NAJYA	najya
KVRTH	korte
SVDARMV	sudarmo
BANGARTZ	bongarts
TVNAR	tonar
ZYGMVNT	zygmunt
GVAN	guan
AYLVR	aylor
BALMA	balma
HASLVM	haslum
BARTHVLVMYVS	bartholomeus
GADY	gadi
HYNTVN	hinton
JVZYH	josie
ABRAMSVN	abramson
SASLAV	saslav
KALPYN	culpin
VAH	wah
SAVYR	sauer
DANYLV	danilo
NYNV	nino
LYAM	liam
JHANG	jhang
BRYTA	brita
TYN	tin
KVSVGH	kosuge
BAD	bud
LANGDVN	langdon
ASKAL	scull
AKMAN	akman
SYTLAYV	cittlau
ALTV	alto
MYAYNDRT	meindert
SALVMVN	solomon
MANJYT	manjit
LANDGRYN	lundgren
MARYA	maria
SYLVYA	sylvia
ZAYRA	zaira
GLVRYA	gloria
AVT	ott
JAHMANH	jahmane
SAYTJ	sytje
KYNGSTVN	kingston
KALPYN	culpin
ADMVNDS	edmonds
BRAHYM	brahim
HARYHARAN	hariharan
ZHRA	zara
BALDYNGTVN	baldington
KRVK	krok
ASKAYT	eskite
AMYH	amie
GVNVT	gonot
KVNVPKA	konopka
JVAN	joan
GASLYNG	gosling
AYSKANDR	iskander
DVYNYNG	duening
TVLAY	tully
CAYLD	child
FARKAS	farkas
NYLS	nils
DVBVYS	dubois
'DYL	adil
KLAGSTVN	clugston
BVNGARD	bongard
BANGARTZ	bongarts
JYGANG	jigang
ABRAHYM	ebrahim
RYTA	rita
TRVMBV	trumbo
MATANA	matana
YVRMV	yermo
DVRFMAN	dorfman
VYVYANH	viviane
PYZYALY	piziali
VYLHAYT	wilhite
PVGA	puga
RASV	raso
BRYN	bryn
KALA	cala
PABLV	pablo
AYSAKS	isaacs
ASPYTZR	spitzer
KASTRV	castro
GRAHAM	graham
RVNDA	ronda
'BDAL'ZYZ	abdulaziz
FRANSYSYVS	frnaciscus
JYGANG	jigang
FABRH	fabre
SKYVRYTY	security
BAJYK	bajic
ANRYKYV	enrique
MARK	mark
'LYA	alia
KAGBVRN	cogburn
HRABY	hrabi
ASTYN	stian
YASYN	yasin
JVSVYG	joswig
BVNYFASYVS	bonifacius
BLVZVM	bloxom
ARFVRD	orford
FAVST	faust
GADBVRY	gadbury
BABA	baba
RAFY	rafi
AYSKANDR	iskander
ALKYNGTVN	elkington
KANV	cano
AYRYZARY	irizarry
BRAHAM	braham
KAYA	kaya
GAS	gus
JAKVBY	jacoby
ADAB	adab
MARYA	maria
MANRV	munro
KRYSVJYN	krisoijn
HARMAN	harman
LYTVYN	litvin
KVRAM	coram
ANVPAM	anupam
KYVMR	kumar
JYGANG	jigang
SYSK	sisk
LYZA	lisa
SVKVMAR	sukumar
ASLAVMYZ	slawomir
ASTFANV	stefano
AYSTMAS	isthmus
LAZARD	lazard
SYR	cyr
DRAGANYS	draganis
NYVYSVN	nevison
GYTLYN	gitlin
MVRAN	moran
AMYR	amir
DANY	dani
BASYL	basil
HASLVM	haslum
BRANDY	brandi
KAMSKAYA	kamskaya
MAGVAYR	maguire
RYVDT	ruudt
LANDYN	landin
DANLVP	dunlap
KVA	kwa
BADYN	baden
HARDYSVN	hardison
SVNY	sony
DANSY	dancy
ASTARTLD	startled
DYSANTV	desanto
TVLANY	tolani
KVYALYK	kowalik
SVART	swart
BARNABY	barnaby
MAYTAG	maytag
HLAVYN	hlavin
BYRA	byra
JAYNVR	gainor
PVLYYAM	pulliam
ASTYVNSVN	stevenson
ZAFYNA	zafina
KADYN	kadin
ANTARAMYAN	antaramian
MANKVS	mancus
TRVMBV	trumbo
RVZYTA	rosita
AKSFRD	axford
NYVMAN	neuman
ASTYRN	stearn
KVRP	korp
JASTYH	justje
ZALAN	zalan
BAVKAM	bawcom
MARYTJY	maritje
AVL	owl
KVBLA	kubla
MARTYNV	martino
BRYN	bryn
KALPAK	kalpak
RAYLY	raile
ASFAR	sphar
ASTK	stec
LAYVLY	lively
BLANSDAN	blunsdon
KRYSJH	krisje
MVNYZ	muniz
AKTVN	acton
DYVYSVN	davison
AYLKA	ilkka
RYBAR	ribar
SYRVS	cyrus
JVANA	juana
RASV	raso
HALST	holst
ASTRYN	ostrin
BYTZ	bitz
TAHARA	tahara
BALYGA	baliga
VYMPJH	wimpje
BRYSTVL	bristol
ASTVK	stock
NYVAN	neuen
NAGY	nagy
GALPYN	galpin
TRANYTSA	turnitsa
ADAM	adam
VYNSTRVM	winstrom
LAYN	lynn
YARMAN	yarman
FLVDYN	flodin
KAPLYNK	kaplenk
PARTVN	parton
ALVARV	alvaro
HAYNGH	hainge
SVRAJ	suraj
PALSKY	polsky
DYVYSVN	davison
PAYVLTJ	paultje
KALYARV	caliaro
VYNSN	wincn
ASTVVAL	stovall
ARY	ari
PAN	pan
SKARP	scarp
ASKAL	scull
MVBAY	mawby
GANTY	ganti
KVARTZYTH	quartzite
MVRAY	moray
DVGAN	dogan
SAMVSKY	samosky
RAYLY	raile
ASTRYD	astrid
ZAYRA	zaira
JASTYN	gustin
ASPYN	spine
BALD	bald
BADYG	budig
TAYRAY	tierie
GVPTA	gupta
KADRYBYSYK	kadribasic
LANDRY	landry
SVAMY	swamy
BVNYFASYVS	bonifacius
PRASAD	prasad
ALGAYN	olguin
ASKATV	scotto
BVST	bost
SYTRAH	sitrah
TVM	tom
LYNDRVTS	lindroth
KYTAMVRA	kitamura
