RAFY	rafi
BYG	big
VYRCVAL	virtual
ANTVNYS	antonis
AVYRSA	aversa
RVYAL	royal
KLAZVRA	klazura
LABKYN	lubkin
FABRV	fabro
LANDGRYN	lundgren
SANRAYZ	sunrise
AVN	aun
ALYMA	ulima
LAK	loc
ABY	ebe
SVHA	soha
ZVRYNK	zurink
LYVAYN	levine
KAKY	kaki
GAT	gat
VYRJYNYA	virginia
DVNHAM	dunham
KVHN	cohn
PVLYNG	poling
KATRYN	katrin
KVDAMAH	qudamah
AVANZ	evans
KASTRV	castro
KVZV	kozo
ASMA	asma
GANG	gang
LADYVYL	ladeuil
YVNAL	uenal
LAMASTVS	lamastus
SVL	sol
PYATJY	pietje
BAYRTYH	baertie
BRY	bri
AVLSN	olson
TVSYNG	tusing
ASTYRN	stearn
DYKSVN	dixson
ANGLAND	englund
KRVK	krok
SANRAYZ	sunrise
ANPYNGKV	unpingco
KVRZAYN	corzine
FRANSYNTAY	francyntie
AYLKA	ilkka
BARFVRD	barford
SANTSBRN	sansburn
LYZARD	lizard
SANA	sana
TYN	tin
KRYSTYNA	kristina
SVLYTAS	sotilas
DANAVAN	donovan
RYTA	rita
AYLYS	eyles
FANGVS	fungus
SARVATH	sarwate
ASTDYNA	stedina
JAKVBS	jacobs
DAG	dag
AYZAK	isacq
JVHANY	juhani
KARVYN	karwin
LYNDAL	lindal
RVYMATA	roimata
ASKLVYR	sklower
ANVAR	anwar
AMNVN	amnon
DYKAVTY	decouty
SANTA	santa
KASANVVA	casanova
SYTA	sita
ARNVT	arnot
HARDYN	hardin
AMBRVSYV	ambrosio
HVRYNG	hornig
HAFSAH	hafsah
LADASKY	ladasky
HYN	hin
AMYT	emit
VAH	wah
BYKVN	bacon
LYBLYT	liblit
BAYRTAY	baertie
DAV	dow
KVL	col
JAKVBZ	jacobs
KLAYN	kline
ASPYRZ	spiers
LAHYJ	lahij
SAVVY	savoy
ANYJMA	enigma
AYLVT	eliot
MYKVLYK	mikolic
LAYKZ	likes
KAMBS	combs
YASYN	yasin
FARYD	farid
AMARA	amara
DRVDYNG	druding
RAV	rau
SVLY	soli
KAVLYNG	cowling
AYNA	inna
BVLDT	boldt
AVRLYNZ	orleans
RAFALSKY	rafalski
ARYKSVN	ericson
LAMASTVS	lamastus
DVBYNSVN	dobinson
HVRYNG	hornig
AVRBN	orban
BVRST	borst
PYNSVN	pinson
FYDALGV	fidalgo
FADVR	fodor
ASKAL	scull
RAVY	ravi
MS'VD	masud
MANV	mano
DYYALA	diyala
SVAN	swan
FRAMSAN	fromson
FARYHA	fariha
YAMAHA	yamaha
SYKVRA	sikora
BARNAS	barnas
BVDY	budi
DAYVVN	dauwen
VYJBRAND	wijbrand
BAYRN	byrne
BRYTA	brita
HVDAYDAH	hudaydah
SYNDRH	sindre
JVSYP	josip
KATRYJN	catrijn
DVMYNYKAS	dominicus
BABV	babu
ALBAHAH	albahah
KVNV	kono
DVNALD	donald
KLVB	club
KAV	cao
MABAY	mawby
VYKTYM	victim
RABYN	rubin
ASKYPY	skippy
VYLKYN	wilkin
GRYSVALD	griswald
BVNAR	bonar
FRYNK	frink
ANJY	engi
SVKVMAR	sukumar
VYVYAN	vivian
KVANG	kwang
KVRL	corl
KVSTA	kosta
KVZV	kozo
AYNGYJD	engaged
BADYN	baden
RYVNVLD	reinoud
RABVYL	raboel
DAKLVZ	ducloz
MYRVT	mirut
YAYN	iain
RVHAN	rohan
LVYYZV	loizzo
FYNK	fink
KRAMHVRN	crumhorn
KAZVNVZY	kazunori
DANHAM	dunham
DRAGANYS	draganis
ASTV	stew
ASYF	asif
BARKSDYLY	barksdale
MANYJA	manija
KYRK	kirk
KANV	cano
KVTRVNYV	cotroneo
ABVBA	aboba
VYNKV	vinko
TAYJMN	tijmen
BYAN	bian
GANSVN	gunson
HADSVN	hodson
GLASYYR	glacier
MVRANV	morano
MARYA	maria
SANRAYZ	sunrise
FVJYVKA	fujioka
BARGVS	bargus
BARFVRD	barford
LVRTVN	lorton
KANTH	conte
DANLVP	dunlap
FYSK	fisk
HVRST	horst
PATYL	patil
LVBV	lobo
BVSTAK	bostak
