DVNYNY	donini
AYRLAYNZ	airlines
HAMY	hami
BAVDVYYN	baudouin
DYKV	dico
ANTVNYS	antonis
TAMAY	tamai
ATYYA	atiya
NYVAN	neuen
MARTYNTJH	martyntje
KAYK	kauk
LYN	lin
SYRYLV	cirilo
MKRAYH	macrae
DABSVN	dobson
MVK	mok
ARHARD	erhard
GVRYK	gorik
KAYN	cain
DRAM	drum
DATRY	datri
PRAYVYT	private
GARMZ	garms
LVDVRF	ludorf
ABAD	abad
PVYNTYNG	poynting
ASTRAK	strock
LVSY	lucy
LVND	lund
DAL	dal
VYK	vik
RAYLY	raile
ZARVS	xaros
DANKV	danko
LAYVY	liewe
BVNYFASYVS	bonifacius
HANKH	hanke
SAVARAM	savaram
FRNASYSKAZ	frnaciscus
PAGLYA	paglia
RYHANH	rihana
KAKYVR	kakure
KAVH	kave
ASLAN	sloan
KARTYS	curtis
JVAN	joan
JVAY	juay
ANFANT	enfant
VYKLVND	wiklund
SVL	sol
AVRBN	orban
BLYNKV	blinco
HANTYNGTVN	huntington
SAYM	syme
GRAV	graw
BLAL	blal
MYSYK	misik
YVNGSAP	yongsup
GRAD	grad
SARNA	sarna
SVRANA	surana
DAVSVN	dawson
GANTRAM	guntram
AYTJY	oetje
BLAZ	blaz
ABA	aba
ASTAKY	stucki
ABVLYN	abolin
MARKSN	marxen
SANDAR	sundar
SVLYTAS	sotilas
GNAGY	gnagy
JAKVMYNTAY	jacomyntie
ADAM	adam
ARYK	erik
BARK	bark
LAZARA	lazara
ARYKA	erica
MYSTRY	mistry
DAV	dow
ALMVDYVAR	almudevar
SAGARS	sugars
NYN	nin
KRAY	cray
JARVALA	jarwala
DYAB	diab
LASNYK	lasnik
AYZAK	isacq
BYLYNGASLAY	billingsley
MARYTJY	maritje
GVRASPY	gorospe
KVRTH	korte
ABYA	abia
DVRDAL	dordal
ARMAND	ormond
AMBAR	embar
BYSYN	basin
ANSAR	anwar
AYS	ace
PARSVNS	parsons
AYR	air
BAYRTAY	baertie
JAGARD	jagard
SYT	sit
JAVYKA	jovica
AVBAJA	obadja
ASTAMPR	stamper
KATRYN	katrin
MAYR	mire
KAVS	kaos
KAKTVS	cactus
AVBAJA	obadja
MARV	marv
NYDH	nida
DAL	dal
PANYKV	panico
ASTYANSN	stiansen
AYVGNH	eugene
KLVTH	klute
LAND	lund
TAHARA	tahara
BABAH	babah
KRAYDR	crider
GALYLH	galila
DRVDYNG	druding
JVDY	judy
BAKVS	bakos
LVYD	loyd
BVDV	bodo
TYNG	tyng
TAMAS	tamas
HVRYNG	hornig
KVANRADVS	coenradus
HYNZ	hinz
DANG	dong
BAS	bas
AYNC	inch
ADYK	adik
DANGYV	dongyu
HARTAH	hurtah
DVRAN	doron
MADYGAN	madigan
RAFY	rafi
BYRK	birk
ASTRVK	strock
SYANV	siano
VYPYN	vipin
DYMYTAR	dimitar
DAVAD	dawud
VAYD	wide
BABYTZ	babitz
SAVAN	sawan
LADVVYKA	ludovica
RAVDA	radwa
ALBAHAH	albahah
MARYN	marin
TAYJMN	tijmen
VASLV	waslo
AVN	aun
AYM	aim
SAYTV	saito
DAMYNYKAS	dominicus
SVLVMVN	solomon
STRATVN	straton
LYZARDZ	lizards
JYNAKYRAMAN	janakiraman
TAV	tow
BYSAYV	bissau
ABRAPT	abrupt
MARYNV	marino
AYRYS	ariss
KALYARV	caliaro
TALMY	talmy
RYVARD	rivard
DAYVYN	divine
KALPYN	culpin
ARNAT	arnot
VYPYN	vipin
SAP	sup
LYMN	lymn
'QYLA	aqila
DAMYANV	damiano
AVRYVLY	aureole
MVRTAN	morton
SVLD	sold
LALY	laly
NAYLZ	niles
YAP	yap
AVCZ	ochs
ALSAN	olson
VYKLVND	wiklund
ASFAR	sphar
MYLVT	milut
ASKY	skee
BANKRAFT	bancroft
ASTRAP	strope
PVRTNVY	portnoy
BVAY	buay
SYMYNGTVN	symington
LANY	lani
GANTRAM	guntram
APSYLVN	epsilon
JVANA	juana
JANK	junk
BRAHAM	braham
ASPYR	spear
NADYG	nadig
FALKV	falco
KYSLV	kislo
LVRJYV	lorgio
'BDAL'ZYZ	abdulaziz
DYVYSVN	davison
JVNYN	jonin
ALTAYR	altair
HALY	hale
MARK	mark
PYRAVAT	pirawat
GALAHAD	galahad
LADVYG	ladwig
SVSA	susa
VYKLVND	wiklund
AVVRDAL	overdal
RASV	raso
VAFA	wafa
KATZ	katz
ASTAD	stude
ZARA	zara
SLAT	slut
ASK	ask
SAVYR	sauer
GRYTZ	gritz
PVKVRNY	pokorny
KARMVNA	carmona
AYSAK	isaac
NYNV	nino
ATKA	atka
KAYRD	caird
KAMPAR	kompar
KAMBZ	combs
TANYS	tanis
NVRDT	nordt
KVARTZYTH	quartzite
JVSYP	josip
ARASMVS	erasmus
PLYNSKYN	plinskin
GAVYN	gavin
BRYND	brind
YAMYNAH	yaminah
RYV	ryu
ALF	alf
BYZVAS	biswas
MYLVS	milos
BABV	babu
AVVLYV	avolio
ADVARD	edvard
AZALYA	azalea
FVRLANG	furlong
NYDA	nida
KAPLYNK	kaplenk
APSYLVN	epsilon
NAVAS	navas
GAT	gat
HRNSBAY	hornsby
GVRKY	gorki
FAGAN	fagan
TVRYN	turin
AVGVRY	aogori
RYBAR	ribar
AMANY	amani
BRYDY	brady
ZAKY	zaki
NYKY	niki
SAKARY	sakari
PAKALA	pakala
HAYD	hyde
ADAB	adab
BASYL	basil
KAMB	kamb
LVN	lon
SVHA	soha
SYMVNDS	simonds
VYVYANH	viviane
TYV	tio
KADV	kado
ABYA	abia
SYRYLV	cirilo
RYVNVLD	reinoud
PRASANA	prasana
SYLVYA	silvia
GADBVRY	gadbury
KAMPAR	kompar
TRAYNVR	traynor
GARVFALV	garofalo
MVN	mun
KANYVN	canyon
LYTVYN	litvin
ALTMAN	altman
KVYYNLN	quinlan
LYVNZ	lions
TVRMALA	tormala
ANALVG	analog
TVNGA	tunga
LVRY	lori
KVYALSKY	kowalski
PLANK	plunk
ASTYRN	stearn
FAYNRTY	finerty
AYVRSVN	iverson
BVSTAK	bostak
BALTAYS	baltais
ALKAN	elkan
JASTJY	justje
FLYNT	flint
VARMA	varma
JAYN	jain
RAJV	raju
MYRTY	mirti
AYLKA	ilkka
TYSZA	tisza
BLVHM	blohm
ASLAN	slone
SAYTJ	sytje
AYN	ain
MATAKV	matako
KVTZ	kutz
LVAYNJ	luinge
