TRAFTVN	trafton
FAYRBANK	fairbank
KASTRV	castro
ZAKY	zaki
LVRTVN	lorton
ALMVDYVAR	almudevar
DVRYS	doris
BARY	bari
ASTYRNZ	stearns
FVRLANG	furlong
TAKA	taka
MVRTAN	morton
DAYVVN	dauwen
JYRMASKA	germuska
FVY	fui
DAKV	daco
SYSK	sisk
MAY	may
VYVYANH	viviane
DRAP	drop
SANTSBRN	sansburn
VANSY	vance
SYRYL	cyril
AYRYK	eirik
LVRY	lori
KARL	carl
GAMAL	gamal
AYVSV	ayuso
PASYFYK	pacific
DYL	dil
TVMANY	tomany
KVYYNLN	quinlan
VAST	vost
MARTZ	martz
KVDY	cody
JASTAS	justus
GNVSYS	gnosis
AYSKANDR	iskander
BARTVN	barton
MARKVS	marcus
KAY	kai
ASTYSY	stacey
YANSVN	yanson
VYDY	vidi
HART	hurt
GRAYYV	grieve
SANVNDV	sunondo
DAK	duk
GVYN	gwin
LYKYVRY	liquori
ASPYR	speer
DYNA	dina
ASTFANV	stefano
MAYR	myer
AVSYVN	oseven
BABA	baba
ZVRYSYKA	jurisica
HARBVR	harbor
ANTRYKYN	entrikin
GRYST	grist
ASPRVT	sproat
VAYGL	wigle
MARYV	mario
NARV	naro
AYVJNH	eugene
AVRVM	avrum
PALFVRD	pulford
LYVNVRA	leonora
FLYMYNG	fleming
DYMYTRY	dimitri
JVNYN	jonin
ANSKAMB	anscomb
TRAVN	trown
DYMYTRYS	dimitris
LAYVLY	lively
VYLKYNSVN	wilkinson
LYDVR	lidor
ADYH	adie
MANGLANY	manglani
TRVYYJH	truitje
KAPRAL	kapral
ANTRAPY	entropy
ANTVNYS	antonis
GADFRVYD	godfroid
MVNAGAN	monagan
SAMVSKY	samosky
ASTANGYR	stangier
NAHAM	nahum
AKLVF	eklof
FADL	fadl
KVYYMAN	coeyman
MARLYN	marlin
RVSV	rosu
KASANVVA	casanova
AYTJY	oetje
ASKVLYNG	scowling
ASVALAP	aswalap
JVHANSVN	johansen
LASNYK	lasnik
GVYYLYM	gwillim
DRAYNH	draine
MARTYNZ	martens
GVRASPY	gorospe
DANKAN	duncan
JANSJH	jansje
VYJNAND	wijnand
HARMANVS	harmanus
ATVL	atul
AVYNG	ewing
AYS	ace
AMYR	amir
FVRSAYT	forsyth
DYANA	diana
HARRYG	harrig
HASYK	husik
BRANDY	brandi
VYKTVR	victor
ANVS	enos
LANKTVN	lankton
AMADVR	amador
LAMARK	lamark
FRYTZYVS	fritzius
DAVSAN	dawson
HALVB	holub
YVNAL	uenal
ARLYNDH	arlidge
KYNGSTVN	kingston
JAVYKA	jovica
ALVYN	alwyn
NAN	nan
JVNYVR	junior
HVLRVYD	holroyd
AVFYNGTVN	uffington
NAKASVRA	nakasora
MARTYJNTJH	martijntje
ASTRYNJR	stringer
