KASTANV	castano
BLAHA	blaha
ASPVLARYC	spolarich
SALVMVN	solomon
MATSVDA	matsuda
PVHAN	puhan
KVJYAS	kogias
KYLG	kilg
BVYKV	boyko
HARTYGAN	hartigan
ANYJMA	enigma
KVRL	corl
FYNK	fink
KRYSVJYN	krisoijn
MADAKS	maddux
VYDAL	vidal
KVJYAS	kogias
AKSFRD	axford
NYVAN	neuen
ARKTYKY	arktiki
ARYKA	erika
VYND	wind
ANANT	anant
ASVALAP	aswalap
AVHALVRAN	ohalloran
KLATZ	klotz
DYNA	dina
AVAD	oued
MVRAVAN	moravan
ALSAP	alsop
FARYHA	fariha
SVZV	sozo
TAKY	taki
GAVYN	gavin
MARLYN	marlin
GADBVRY	gadbury
AYVSV	ayuso
RAKVN	rukan
HADSVN	hodson
PANYKV	panico
ASPARZA	esparza
MARTYN	martyn
ALGYNGTVN	elkington
HANSVN	hanson
BVRM	borm
ASKARS	scarce
JYM	jim
DANKV	danco
BVZVVA	bozuwa
VYJNAND	wijnand
VAFA	wafa
KARTYS	curtis
HVRYNG	hornig
KALYAN	kalyan
KANT	kant
PVKVRNY	pokorny
ALVYN	elwyn
ALDYN	eldin
LABDVN	labdon
TVAMA	tuama
TVMY	tomi
DARBY	darby
BVM	bum
AVCZ	ochs
GADBVRY	gadbury
VYND	wind
AYN	ain
SVYFT	swift
BRAYNKLR	brinkler
MVGANTY	moganti
YYKA	yeka
ASCVYLAR	schuyler
FAGAN	fagan
SYVA	siva
GYPJH	gepje
AZAD	azad
DYMYTRY	dimitri
ALKSANDRVZ	alexandros
LVPATKYN	lupatkin
DAMVN	damon
TYNG	tyng
FRAYDMAN	friedman
DVBRYKYN	dobrikin
LABDVN	labdon
MANAMA	manama
HAN	han
DADA	dada
JVBAL	jubal
KARASV	karasu
JYSVZ	jesus
YASYRAH	yasirah
BARFVRD	barford
ASTVRR	storer
RVY	roy
NARAD	narad
DAVT	dout
AVRYVLY	aureole
MARSY	marcy
DANGYV	dongyu
AYRVN	aaron
SVAGATV	swagato
NYNVYS	ninoys
BAB	bob
DYRKS	dirks
BANTVN	banton
DALYNAR	dolinar
ADGYNGTVN	edgington
GAJNH	gagne
AYVLYN	evelyn
GALYZYA	galizia
GANTY	ganti
MANSYL	munsil
DVRMA	dorma
MYLKS	milks
KYBV	kibo
AYZAK	isacq
VYLDYNG	wilding
ADRYS	idris
HVA	hua
ALKSY	alexy
MYLMAN	melman
AMYRA	amira
KRYSPYJN	crispijn
DANAVAN	donovan
LYNDAL	lindal
MAK	mak
MANGLANY	manglani
BARG	burg
ANTYLA	antila
BVM	bum
JASTAS	justus
AFA	afa
KASTRYKAM	castricum
HANG	hung
KANAKAKVRN	kanakakorn
KALKAN	kalkan
DAG	dog
TAPLYN	taplin
FYDVR	fedor
PVHL	pohl
ASYF	asif
AYNC	inch
BADZYAK	budziak
SVLYS	solis
VYLKYN	wilkin
KATY	kati
MAYV	mayo
AGALY	agali
BAYARD	bayard
TRYSY	tracy
ANTRVSYV	antrosio
KRYVVNVZ	kriwonos
MVNTYJV	montijo
AMLAK	amlak
FARAGV	farago
ATYYA	atiya
HAPKYNZ	hopkins
FLYMYNG	fleming
BVLDVYJN	boldwijn
NVKV	noko
BLANZDVN	blunsdon
TVSKANV	toscano
'ALY	aali
DAYS	dais
ALRVY	elroy
SYRKVYS	cirques
TANG	tong
BYSAYV	bissau
KRYSTYNA	kristina
YARYAN	yaryan
ASTRAK	strock
BYVDVYN	bauduyn
LVK	luk
VAYA	vaya
DYVNYDA	dionida
KRASBY	crosby
TVKYV	tokyo
HASK	husk
BARKVS	barcus
KRANSVYYK	cranswick
