MADABA	madaba
STRATVN	straton
LALYT	lalit
ASMAL	small
NADYG	nadig
ANGLASMA	engelsma
JVANG	juang
AVLA	olah
ANTVNYVS	antonius
BRVYLV	broilo
BRYDY	brady
ARVAL	orval
ADARA	edara
KASTANV	castano
BRABANT	brabant
ALVK	alok
ALRVY	elroy
AVTV	otto
ADMVNDZ	edmonds
DYNG	ding
PVALMA	puelma
KRYST	crest
TANG	tong
LAP	lap
AMANY	amani
MAV	maw
KANDV	kundu
ALFARV	alfaro
YAMYNAH	yaminah
JVSYP	josip
ANAZ	anas
DANALD	danald
TYHAN	tehan
GALYLA	galila
FLVR	flor
KYNGSTVN	kingston
LVNZ	lunz
DANYS	danis
AKYN	akin
AYRVN	aaron
LASNYK	lasnik
ANAKYN	anakin
ASTAD	stude
GRVYN	gruen
TYYVLN	thulen
JAHMANH	jahmane
KYRYL	cyril
BRANSDVN	brunsdon
FRANKVYZ	francoys
LASTRA	lastra
GRAYYV	grieve
DAVNYNG	dawning
MYLKY	milky
PRAMVD	pramod
AVBYD	ubaid
PVH	poh
JVAN	joan
MYNTZ	mintz
MVRLAN	morlan
PAGLYA	paglia
PYLAZV	peloso
PAVV	pouw
BYKVN	bacon
PAKALA	pakala
ANTANAYTYS	antanaitis
RAYSL	risel
AYSY	ayse
HASKYNZ	hoskins
LYVYV	liviu
FAYF	fife
KVAYMAN	coeyman
TANAK	tanak
PVLGAR	pulgar
ASTRYDM	strydom
AYNVN	eynon
DAYS	dais
ASKVLY	ascoly
KVANG	kwong
JVRAH	jurah
AYNZ	inez
JYNAKYRAMAN	janakiraman
SYMVNA	simona
VYGSTVN	wigston
ALDZ	olds
YVNYZA	unaiza
KNVB	knob
KAV	kao
AVYS	avis
DAK	duk
TABVK	tabuk
DYVAYN	divine
GVPTA	gupta
BLVNSDVM	blunsdon
PVYSL	poisl
LAMASTVS	lamastus
GASPAR	gaspar
LYVYVY	levavy
BAZBY	buzby
AYLVARD	aylward
R'NA	rana
GVLVMB	golomb
ASLAN	sloan
ASVALD	oswald
SANTSBRN	sansburn
SVMA	soma
KAMALA	kamala
DVNALD	donald
