BAVKAM	bawcom
BASYL	basil
ASBRYNK	asbrink
MADYGAN	madigan
ASPVSYTV	esposito
RYGAN	ragan
HRLAYNDYZ	herlindis
JVANG	juang
DAVT	dout
ABRAHYM	ibrahim
FLVYD	floyd
'BDAL'ZYR	abdulaziz
GRAV	graw
AGATY	agate
MS'VD	masud
GAVYN	gavin
AYSTMAS	isthmus
YAN	yan
AMBRVSYVS	ambrosius
VALDV	waldo
TAMAS	tamas
ALYLYVNAS	alelyunas
KYVZVN	quezon
DANHAM	dunham
RAYSTLYN	raistlin
BVSTVN	boston
DYRKS	dirks
DASYVK	doseok
BRYVN	bryon
TRAVN	trown
AVSTRANDR	ostrander
ALYN	elin
SVANK	swank
DAKV	daco
ASTYNTJH	steentje
KARTYS	curtis
SAKAYV	sakaue
KVRL	corl
KRYSTYAN	kristian
BLVM	blum
FVTYNVS	fotinos
AVL	owl
KASANVVA	casanova
RVLFH	rolfe
ASTNFVRT	stenfort
KANAKAKVRN	kanakakorn
RAD	rad
RAKYKVT	racicot
ANPYNGKV	unpingco
VYMPJH	wimpje
DVY	doi
GAN	gan
SALMY	salmi
SYLK	silk
AKYL	akil
LATALA	latala
ARGAR	orgar
ALVA	alva
SVZV	sozo
DVRAN	doron
VADAPARTY	vadaparty
PADYAL	padial
SLAT	slut
MVNKAR	moncur
ALSVN	olson
FVN	van
RAFYKYV	rafique
LAK	loc
HVDSVN	hodson
DAMYANV	damiano
AVYVA	aviva
AYMAN	ayman
HAPSVN	hopson
TYMBVL	timbol
GALY	gali
PYVRYNTN	purinton
GYZAV	gizaw
ASMA	asma
FYGVRA	figura
FRNASYSKAZ	frnaciscus
AMAL	amal
AYSLYK	icelic
VYLYANY	villani
AVMAKY	ohmaki
MARTYJNTJY	martijntje
GYBSVN	gibson
KRYST	crest
PRVMVNTVRY	promontory
LAZARD	lazard
AVRM	orem
BARKASFYLD	barksfield
VYNATA	vinata
SVNJA	sonja
PRYSTVN	preston
HALY	hale
KALPANA	kalpana
BVNYN	bonin
MARAT	marat
GAT	gat
ABY	ebe
ASPVRY	sporay
LYNKVYS	linkous
KVBSA	kobsa
PVLYS	polis
TRAVN	trown
MVN	mun
YARYAN	yaryan
BALYT	balit
LYNDRVTS	lindroth
KYNSVN	kinson
BAZBY	buzby
ARYKSVN	ericson
PVRTNVY	portnoy
ASTAD	stude
BYK	bik
SAVYN	savin
ABYNA	ebina
FRYTS	frits
BYVKRAFT	biocroft
MAYZ	mize
DANALD	danald
SANDHV	sandhu
AMYHAY	amihai
LVBYN	lubin
HVRVAT	horvat
DADGYVN	dudgeon
RYSLYNG	rysling
ASTVRR	storer
YANGY	yangi
BVNAR	bonar
FRANSYSYVS	frnaciscus
BVST	bost
SYRVS	cyrus
AYNA	inna
MYLVS	milos
LASKALA	lascala
KRH	kre
'LYA	alya
AFRA	afra
BRAYS	bryce
AMY	ami
ALDYN	eldin
MAHAVLT	mahault
RAMVLVS	romulus
PYNG	ping
KVASYM	quasim
SANYL	sunil
DABYNZ	dobyns
KANAK	kanak
BALYN	balin
LYSTVN	liston
GASKVYYN	gascoyne
KVNV	kono
AGATY	agate
BRAVV	bravo
MANK	monk
KRVB	krob
DVSKV	dusko
AND	and
LANG	long
DVRYS	doris
FRASTY	frosti
SYMS	sims
HYNZ	hinz
LVN	lon
ADGYNGTVN	edgington
BALTAKS	baltaxe
DYKSVN	dixson
DYLAN	dilan
SAP	sup
KYVZVN	quezon
VYLYNGZ	willing
AVSTRANDR	ostrander
PRATVL	pratul
PRAYM	prime
HLAVYN	hlavin
SANTSBRN	sansburn
TYVGA	tioga
YARLA	iarla
JARBVT	jarbot
JANK	junk
GRAHAM	graham
AVRN	orne
MANY	mani
VYNZ	winz
SAMVYL	samuel
MAYR	mire
LAS	las
LAVSTAD	lovstad
RANA	rana
VYLJV	viljo
VYLKANS	vilcans
YVNAL	uenal
BYRK	birk
PLATFVRM	platform
ASTRYD	astrid
ALVA	alva
LYNGAS	lingus
ASVALD	oswald
BRYJ	brij
HAYVL	houle
ADRYS	idris
MVBAY	mawby
FLVDYN	flodin
MYNTVN	minton
FLVRA	flora
AMYVT	amyot
AYRAY	airay
ASPATSVVD	spotswood
KALAFATAS	kalafatas
BYVAN	bevan
SYTARAM	sitaram
BAND	bond
KALB	kalb
GVRASPY	gorospe
DAHVD	dahuk
SVRAJ	suraj
ARPYN	arpin
KAMAL	kamal
ASTNSRAD	stensrud
MYKVLYK	mikolic
SVNDARAM	sundaram
LYNDGARD	lindgard
DAVSVN	dawson
ASTYVNSVN	stevenson
VYK	vik
PAPLY	popli
AYTJY	oetje
VALDRAM	waldram
ASKADZ	scudds
FYGARD	figard
HARBVD	harbud
KVJYAS	kogias
LYVAYN	levine
AARVN	aaron
LVYYSALY	loiselle
ASTRND	strand
TVMANY	tomany
TYSZA	tisza
GRYGVR	gregor
PADYAL	padial
ARNVLD	arnold
JHANG	jhang
HVLM	holm
DAVNYNG	downing
LYNDAN	lyndon
PRAPYS	prupis
VYJNAND	wijnand
JANK	junk
AYS	ace
NYVKVYST	newquist
VAL	wal
MATAKV	matako
