MYLKY	milky
KRYYK	creek
PRABST	probst
ALMKVAST	elmquist
ALVA	alva
LANSYNG	lancing
AMAL	amal
GASYK	gasic
NAGY	nagy
BANKRVFT	bancroft
ADGYNGTVN	edgington
BVAY	buay
GRAYSLDYZ	griseldis
HALTZ	holtz
GARBH	garbe
AYRD	aird
RYSLYNG	rysling
RADRAMVNY	rudramuni
'QYLA	aqila
ARDYS	ardis
KAMBZ	combs
BRAVV	bravo
PARKZ	parks
ASPVSYTV	esposito
ADMVNDZ	edmonds
PVTZ	putz
BRAY	brie
KARA	kara
GVDYVYN	godewyn
RVTABAGA	rutabaga
DVNATY	donati
AKTVN	acton
YANGY	yangi
RADRAMVNY	rudramuni
BARKRAFT	barcroft
KLAYSVN	claeson
RASV	raso
ASLNGZVALD	slangsvold
SANG	sang
VYRJYL	virgil
FARAG	farag
HAYNS	hines
LAVYGNH	lavigne
VASYT	wasit
RABYV	rubio
DANKY	dunki
AYDYD	aidid
VYLKYNSVN	wilkinson
FRANSYSKA	francisca
RABYNSVN	robinson
ANTARAMYAN	antaramian
FARKAS	farkas
AYMRY	emery
ALYZA	alisa
PRANGS	prongs
PASYFYK	pacific
LYVN	leon
SVRAJ	suraj
DANG	dung
VYTVR	vitor
ASTRAK	strock
KATVPYS	katopis
DAYR	dayr
FLVDYN	flodin
VYLA	vila
KANV	cano
LAND	lund
HASLVM	haslum
KVSYRA	kucera
ASVALD	oswald
GNAGY	gnagy
GAS	gus
LANA	lana
ASMYD	smead
RATKS	rutks
FLVRA	flora
PAPLASKAS	paplaskas
KVGVMA	kogoma
KVRDYK	kordic
TYPAL	tipul
AYZDY	izadi
LARSVN	larson
AKA	aka
HARTAH	hurtah
VYKAS	vikas
RABYN	rubin
BRYYTVN	britton
JVZY	josi
DANALD	danald
KVSMAS	cosmas
DYVYS	divis
VAYA	vaya
TATARY	tatari
HVYMAN	hoyman
BABAR	babar
BAYLS	byles
ALVYN	alwin
BRY	bri
NYNSTAR	ninstar
NAN	nan
TVYT	toit
DAVNYNG	downing
MAVBY	mawby
PVYV	pouw
FVRSBLAM	forsblom
FAVAZ	fawaz
ANBV	anbu
ANVVY	envoy
JANG	jung
RAST	rust
VYNTJH	wyntje
ASPVSTA	spousta
LVRY	lori
ANBAR	anbar
BARTVLYNY	bartolini
LAYN	lynn
FVJY	fuji
PVNA	puna
BRAYD	bryde
RYSLYNG	rysling
PVHL	pohl
BRAYS	brice
LASKALA	lascala
NYNV	nino
JVNV	juno
ASLYV	slave
ANTVNYV	antonio
KASTANV	castano
BARKVLV	barculo
SAMBVLYK	sambolec
JVHANY	juhani
AYSAKS	isaacs
KAKYVR	kakure
DYSMVND	desmond
LYAV	liao
ATA	ota
RVSTAD	rostad
GRAF	graf
TVDAR	tudor
KRAY	cray
AYRL	earl
AVLSN	olsen
DVRAZYV	dorazio
ZARYA	zaria
BRAVNYNG	browning
SYMSYK	simcik
PARSVNZ	parsons
SANTSBRN	sansburn
DADH	dade
BARTHVLVMYVS	bartholomeus
DVGAN	dogan
KYTAMVRA	kitamura
KVYNTANA	quintana
BRVZ	broz
GARYTV	garito
KVYRYN	querin
LVKV	loco
SADYKVYH	saddique
PVHAR	pohar
MAGAGNA	magagna
SAHASY	sahasi
KVTZ	kutz
PVHL	pohl
ASTYP	steep
ADKYNZ	adkins
RADVF	radov
RVHN	rohn
SYNK	sync
FRAYDMAN	friedman
PYRAMYD	pyramid
ADAMV	adamo
AVSYVN	oseven
ADMYRALZ	admirals
KRVB	krob
JAKVBS	jacobs
VYGSTVN	wigston
AVALD	ewald
ASTRND	strand
HAFS	hafs
PYNSVN	pinson
MAVPYN	maupin
PANKRAS	pancras
FYSK	fisk
KVYNT	quint
AYNGRM	ingram
LVFARV	lofaro
VAN	van
VYNTVN	winton
LYSY	lacy
SAKSNA	saxena
GVSTAV	gustav
BRYTA	brita
ASRAT	israt
JVDAS	judas
MAMA	mama
KVRDYK	kordic
PANFYL	panfil
KAV	kao
AYSAKS	isaacs
ARGAN	organ
YAKVB	yacob
MARVAHA	marwaha
SVYFT	swift
SATKAS	sutkus
S'YD	said
ANTVNYV	antonio
MARZ	marz
YASAR	yasar
ARVYVLA	arviola
AYSYZAKY	ishizaki
KVRKAM	corkum
RYV	ryu
RABYDYAKS	robideaux
ARM	arm
SYANV	siano
MARTYJNTJY	martijntje
VALVR	valur
DYZVN	dizon
MALTYN	maltin
DAL	dal
JAKVMYNTAY	jacomyntie
ALTAYR	altair
NYKY	niki
DAVKYNZ	dawkins
KALBYDA	kulbida
AYLYNG	ayling
NAKAGAKY	nakagaki
SAGA	suga
DAHAK	dahuk
LAMBARDV	lombardo
LYZ	liz
ARAN	eran
MYNAMV	minamo
PYLVYV	pilvio
TYMYAN	timian
MARY	mury
LYVNZ	lions
KVA	kwa
MANA	mana
AMY	amy
LVRTVN	lorton
ALSVN	elson
FADYL	fadil
AMYR	amir
BARTVN	barton
ASTVRLYR	storleer
LAVD	loud
BALSAM	balsam
KYLG	kilg
ASTYVNSVN	stevenson
KAPLYNK	kaplenk
LVK	luk
LVYYZV	loizzo
DAGAN	dagan
GAV	gao
MARGARYTA	margretha
YARVN	yaron
MABAY	mawby
BANKRAFT	bancroft
PALSKY	polsky
VYVLA	viola
'FAF	afaf
LVNAV	lunau
FARAGV	farago
ASTAMPR	stamper
JANSKY	jansky
ADMVNDZ	edmonds
BAV	bao
TYNG	ting
SYLVYA	sylvia
ASK	ask
ASKVLY	ascoly
BVNYFASYVS	bonifacius
FVRTS	forts
AGVYV	agoyo
TAD	tad
KLAYN	kline
GVDAT	gudat
SANK	sunk
MYNYARD	minyard
NYYVTN	newton
ALMYNTAKAH	almintaqah
DARHAM	durham
BVNVMV	bonomo
YVNAL	uenal
RVHAN	rohan
KYRK	kirk
VYDAD	widad
GRAV	graw
AVNAYZ	unaiza
DYLYP	dilip
KRYSP	crisp
SANZBVRN	sansburn
HADYL	hadil
LANSYNG	lancing
PLASTYNV	plastino
DYVYDYAN	davidian
AZALYA	azalea
ANDRYA	andrea
KLAYN	klein
TVLY	tuli
ARNVLD	arnold
KANYA	kania
AYRD	aird
GALYZYA	galizia
DYVYLDH	dewilde
SVAN	swan
BYZVAS	biswas
LYBYD	lebed
MVRLAN	morlan
KVBV	cobo
JVANG	juang
DVNA	dona
ZYZY	zeke
MVRALT	muralt
AVRYGA	auriga
NAVAS	navas
ALKSANDRVZ	alexandros
KRANSVYYK	cranswick
BAYRTAY	baertie
PYVRYNTN	purinton
JASTYN	justin
SVLVMVN	solomon
DYVYA	divya
DAY	duy
LVND	lund
AFA	afa
TVNAR	tonar
BALYN	balin
RAYMVND	raymond
BYLAL	bilal
VAYL	vail
FLVYD	floyd
GYFT	gift
KVRDAS	kordas
KAKTVS	cactus
'LYA	alya
SYMVNA	simona
AVRN	orne
PYNZ	pins
DRYV	drew
SYLK	silk
ASTYANSN	stiansen
KRYST	crest
BYTZ	bitz
AYRYZARY	irizarry
MADYSVN	madison
MARLA	marla
DVBRYKYN	dobrikin
DAG	dug
PVLYYAM	pulliam
BAYDA	bayda
HAYNZ	hynes
ASTYPLZ	staples
GLVRYA	gloria
AYVGNH	eugene
NAYLZ	niles
RAYBLT	rybolt
SANTJY	santje
AYRAY	airay
JYM	jim
BYVDVYN	bauduyn
MYLVT	milut
ASTYLZ	stiles
ALYAS	alias
JVNYN	jonin
GVLVMB	golomb
KAVLYNG	cowling
DANHAM	dunham
TRYVLV	triolo
RAD	rad
KVN	kon
PASYFYK	pacific
NAHAM	nahum
TAYJMN	tijmen
SLYM	slim
GARSKY	gursky
PRAM	pram
DYMYTRY	dimitri
GRASKYN	gruskin
FYDVR	fedor
SYKARV	sekora
RYSTV	risto
SAGARS	sugars
YVK	yok
ALSVN	elson
KAMPVS	campos
AMYT	emit
PRAPYS	prupis
KAYLAS	kailas
GYBVR	gabor
MVRANDV	morando
KVDAMAH	qudamah
LAK	loc
BLAZ	blaz
FRANSYSKA	francisca
BRYNK	brink
BLAM	blum
JVAN	joan
MVYR	muir
QVASYM	quasim
DAMYNY	dominy
DVBRYZ	dubris
MVRAD	murad
ASTRYD	astrid
PVLK	polk
AMNA	amna
JANKYNSVN	jenkinson
KANV	cano
MAYSAL	missal
LAYVVY	lieuwe
RAJV	raju
SAKSNA	saxena
VYLKAS	wilcox
FRNASYSKAZ	frnaciscus
KYBV	kibo
TVYDA	toida
DVPALM	depalm
AFZAL	afzal
HAKABAY	huckaby
HAYNZ	hynes
AVBAJA	obadja
SABRAMANYAM	subramaniam
'YN	ain
AVYRSA	aversa
VADH	wade
SANTJY	santje
KVLASA	kolasa
VYTV	vito
PANDYT	pandit
KRYSVJYN	krisoijn
NVLAN	nolan
ANATVLY	anatoly
AGALY	agali
LYVYVS	livius
TAT	tat
AYTJY	oetje
MAYZ	mize
GAMBYNV	gambino
VYSKA	visca
SASKA	suska
LAS	las
TYV	tio
GVDRAN	gudrun
PYRAVAT	pirawat
HAYZ	hise
ASTNFVRD	stanford
BAVKAM	bawcom
MYNKY	minqi
GRAD	grad
KALPYN	culpin
KAYL	kyle
BYG	big
RAV	rov
KALAFVT	kalafut
'YN	ain
RVAY	ruey
LYDVR	lidor
JYNTVN	ginton
LVRY	lori
KARDAL	kardal
VYLJV	viljo
NAGY	nagy
BADYG	budig
BARYAKS	bariaux
PRAYB	pribe
TVMATYVS	tomatius
SAMGYN	sumgin
JYVRDANV	giordano
BALTAYS	baltais
RAFALSKY	rafalski
ASKY	skee
KVYN	kuin
YVK	yok
MASKYAS	mascias
AFAF	afaf
KVA	kwa
RAVYRAJ	raviraj
AKMAN	ekman
AVRAM	avram
VYLYANY	villani
AFAF	afaf
MADABA	madaba
DYN	din
JYAN	jian
AYMAN	aiman
HAYNGH	hainge
AYM	aim
TAYLR	tyler
TAKV	taco
DART	dart
BYVAN	bevan
ARPYN	arpin
RAYSL	risel
ALKAN	elkan
SKARP	scarp
PARDY	pardi
SARNA	sarna
LVKV	loco
DABSVN	dobson
LYNDZ	lynds
LYNDVN	lyndon
JVBAL	jubal
MVRAN	moran
ALRVY	elroy
MVNTA	monta
MAY	mai
ARNVLD	arnold
ASTRYTY	steriti
DYNGSVR	dingsor
LAYRD	laird
YAV	yaw
TVYDA	toida
SYTV	seto
PALYDV	pulido
GASTAVVS	gustavus
'BDAL'ZYR	abdulaziz
PABLV	pablo
FARAT	furat
FLAT	flat
BRAYD	bryde
ASTRYAN	stroyan
DYK	dik
TYNA	tina
PATRYK	patric
MS'VD	masud
TVFTH	tufte
SATKAS	sutkus
KYMVN	kimon
VYDAL	vidal
ADVARD	edvard
ALMAR	elmar
GALYLA	galila
ADRYS	idris
JAGV	jago
PYVN	pion
MARYH	murie
GNVSYS	gnosis
LVYYZV	loizzo
TAPYK	topic
DAN	dun
HVLKAMB	holcomb
BASYLYVS	basilius
ASKVLYN	scullin
PVHAR	pohar
TAMATYVS	tomatius
ASKRYBNR	scribner
MVRABYTV	morabito
TVSKANV	toscano
MYTVN	maton
AYSTMAS	isthmus
RADHYKA	radhika
BRAM	bram
KVYYNTVN	quainton
DYRKS	dirks
S'YDY	saidi
BAVKAM	bawcom
PVLVVYN	polowin
JAST	jost
SYLVYA	silvia
DAYAN	dione
KALYSYAK	kalisiak
LYZA	lisa
MARYTJY	maritje
ASPYRZ	spears
NYVMAN	neuman
ASPVSYTV	esposito
HARVLD	harold
MYNKY	minqi
RVYMATA	roimata
TAKSBRY	tuxbury
ALYASVN	eliason
TAPYV	tapio
ALF	elf
FLVRA	flora
HAFS	hafs
DRYV	drew
KVYN	quin
RVSYALA	rotiala
PYLAZV	peloso
BYAVYS	beavis
RAYMVND	raymond
ASLYV	slave
LYRYK	lyric
BAN	bon
JVAB	joab
VYNTVN	winton
SYNK	sync
ASTRYDM	strydom
LYNK	link
DANYS	danis
SVMA	soma
ABRYNY	ibrini
SVNA	suna
MARY	mury
AYS	ice
RADV	radu
PYRVZ	piroz
RAVDA	radwa
JVZA	juza
FAYZA	faiza
KVRDYK	kordic
RAVDAH	rawdah
S'YDY	saidi
ASPVLARYX	spolarich
ASKYLS	skiles
ADAM	adam
ASTNFVRD	stanford
KAM	kam
KALMAN	kalman
DAY	die
PAYTVN	payton
SATKAS	sutkus
SAYRY	sayre
GAVYNDAN	govindan
RAMYRV	ramiro
ATKYNZ	atkins
