MVTVRZ	motors
AMYT	emit
PVPAT	popat
BADVYYN	bauduyn
NYDA	nida
KARBALA	karbala
PYRVZ	piroz
AND	and
HALPYN	halpin
VYKTYM	victim
RYSLYNG	rysling
KAVLYNG	cowling
HALTZ	holtz
PYVTR	piotr
ALDZ	olds
BVAY	buay
RAN	ron
AFTAB	aftab
JYVK	jiok
DNVKS	denux
MYTRVVYK	mitrovic
RAKVN	rukan
DABYNZ	dobyns
LYNDVN	lyndon
SAMVYL	samuel
MARTY	marty
KAVLYNG	cowling
AYNTJH	eyntje
HALAT	halat
SABHANY	subhani
BALSVN	balson
KVRP	korp
KARASV	karasu
BVST	bost
AMARDYV	amardeo
AVDVN	audun
VYLAS	vilas
SYRKVYS	cirques
CYBANSKY	cybanski
BRAYD	bryde
GRAHAM	graham
KVAYMAN	coeyman
GVNY	gony
ALVKAL	alukal
ASTYLZ	stiles
LADVVYKVS	ludovicus
YARVN	yaron
GVYL	goel
TANAK	tanak
MARSTVN	marston
ASKVLY	scully
AVLA	olah
ARVYVLA	arviola
LAP	lap
ASK	ask
SYMYNG	siming
SYANV	siano
AYDA	aida
RAVYNDRAN	ravindran
SVBHANDV	subhendu
RAVT	rout
AYVRS	evers
BRAVN	brawn
BALGA	balqa
ASKVLY	ascoly
SANA	sana
RVNY	roni
GASYK	gasic
KYM	kim
BVNGARD	bongard
KRVK	krok
HYTZ	hitz
AMYR	amir
HYNTVN	hinton
PVGA	puga
PVTZ	putz
SANDAR	sundar
MARYSH	maryse
KAPSVN	kapson
ATVL	atul
FRANKV	franco
DAVT	dout
AYMAN	ayman
FARAT	furat
PANDA	panda
PASKV	pasco
HVAR	hoar
MARLYN	marlin
HAVTYN	hawtin
VYLYANY	villani
LANGDVN	langdon
FLAYGYR	flygare
ASTNFVRD	stanford
GYL	gil
VYKTVR	victor
TANAK	tanak
AMYVT	amyot
VARN	warn
LYNK	link
DVRYNDA	dorinda
RYMVN	rymon
SVHA	soha
HARYV	horio
NYHALANY	nihalani
