MVRTAN	morton
AYLVT	eliot
BYNVY	binoy
LANKA	lanka
SAYTJ	sytje
GABARA	gabara
VAN	van
ANTVNY	antoni
FVRK	fork
ARYKA	erica
ASTYK	astik
ALYVT	eliot
DAMVN	damon
APVNTH	aponte
KAMALA	kamala
AYNANA	inanna
BRYN	bryn
TYVGA	tioga
BAVDVYYN	baudouin
KVSMAS	cosmas
ANAGRAM	anagram
ANBAR	anbar
AMBRVSYV	ambrosio
GVRTVN	gorton
DAY	day
PVLV	polo
HARATZ	haratz
JAN	jun
DAVT	dout
VASYK	wasik
DAYR	dayr
MYLARA	melara
KARHART	carhart
NVDA	noda
PRVTVS	protus
BAKAYA	bakaya
KVANLAN	quinlan
PYNTVN	pinton
MANGLANY	manglani
DANDAS	dundas
ASPYRYNG	spearing
HANSVN	hanson
KARLAYL	carlile
HARBVD	harbud
ASTVK	stock
KARYDA	karida
KRANSVYYK	cranswick
LAY	lye
MARGVLYS	margolis
LYDYA	lydia
BARTHVLVMYVS	bartholomeus
SVRANA	surana
JVAV	joao
LYTVYN	litvin
S'YD	said
LAMASTVS	lamastus
KAV	cau
ADAN	adan
KYKVMA	kikuma
BASMA	basma
'DYL	adil
TRAFTVN	trafton
TAPYK	topic
LVYYZV	loizzo
KARTY	karty
ASPRVT	sproat
ARFYVS	orfeus
ASKVLYNG	scowling
LAVSTAD	lovstad
PANT	pant
AVSNZ	owens
VARMA	varma
GALV	galo
MANVLY	manolo
KLYFT	clift
PRAKTYKVM	praktikum
YAGLA	yagla
ASKVLY	ascoly
TVLA	tula
HYRT	hirt
LYANG	liang
NARDY	nardi
KARTYK	kartik
ABRAM	abram
VYJDAN	wijdan
SASZY	sasze
ANSYH	anisa
DABYNZ	dobyns
ANTVNYVS	antonius
MYLKY	milky
BRYN	bryn
SYMVNDS	simonds
ASTRYTY	steriti
KVSMAS	cosmas
KVRBYN	corbin
PYRAVAT	pirawat
ADVNYS	adonis
LADVYG	ladwig
KAMDAR	kamdar
RVNDH	ronde
BYK	bik
VYVYAN	vivian
KVANG	kwang
NAZARYV	nazario
GATZ	gatz
KRYSTYN	kristin
NYVAN	neuen
HAVK	howk
ASKVLYNG	scowling
PARMAR	parmar
SAYM	syme
ARVNAH	arunah
MARZ	marz
BRVYLV	broilo
'QYLA	aqila
ASTVN	stoun
MANK	monk
HVDSVN	hodson
TANAK	tanak
KLAYN	klein
HVLRVYD	holroyd
DAG	dog
AVTJH	oetje
FRANKVYZ	francoys
LAY	lye
FAYYZ	fayiz
TVLA	tula
MYLAD	milad
ATARAS	ataras
HANSVN	hanson
ASTYANSN	stiansen
RAYBLT	rybolt
TANAK	tanak
HAMARKVYYST	hammarquist
JYA	jia
JAYARAM	jayaram
PRYSYNG	pricing
YVNYZA	unaiza
LAYL	lyle
HYVVYT	hewitt
AYVGNH	eugene
KALKAN	kalkan
MYLGRAM	milgram
HARTAH	hurtah
LVTZ	lutz
PYYRY	pieri
NVLF	nolf
KYVNG	kiong
DYAMANTARAS	diamantaras
ALANA	alana
BLAM	blum
KLANTVN	clanton
KVYYTZ	kewitz
TAKV	taco
BRVYLV	broilo
SVL	sol
LVRA	lora
AMNA	amna
DYVAKARVNY	divakaruni
