KALB	kalb
MVRAY	moray
GALYLA	galila
MARVAHA	marwaha
BARNARD	barnard
RASV	raso
KVYN	quin
ASKLTVN	skelton
KALVYN	calvin
LATALA	latala
SALYAN	salian
MVRLAN	morlan
PRAYM	prime
BALYT	balit
KAVS	kaos
AMADVR	amador
ANAS	anas
FALTVN	fulton
ALVARVS	alvarus
MYLAM	milam
SYLVYV	silvio
KLYFTVN	clifton
JVANG	juang
ANYSH	anisa
KYRK	kirk
RAZDAN	razdan
MYKAYL	mikael
ASKALY	scally
GRVHVL	grohol
JANARDHAN	janardhan
KVTZ	kutz
NVDA	noda
SANDHV	sandhu
YVNGSAP	yongsup
FRAMSVN	framson
ARSKAYN	erskine
SVNDARAM	sundaram
HANYFA	hanifa
BLVNSDVN	blunsdon
SVRAJ	suraj
PYNYAN	pinyan
RAVDA	radwa
SAVL	saul
SAKAYV	sakaue
GRAF	graf
DYNA	dyna
ARFVRD	orford
GANTRAM	guntram
HAVK	howk
AKGAN	akgun
MARSY	marcy
PARTVN	parton
BASMA	basma
SVDYPTV	sudipto
ASTABZ	stubbs
VYNSTVN	winston
LYNGAS	lingus
SYKVRA	sikora
AYZV	izzo
ADVVART	eduwart
VYMPYJ	wimpje
VYRJYNYA	virginia
VAYD	wide
PYRAVAT	pirawat
PYLVYV	pilvio
MARV	marv
VARGV	vargo
ASTRYDM	strydom
ANGLAND	englund
AKSFRD	axford
MARGARYTA	margretha
AVSYZ	oseas
HALAT	halat
ASKALY	scally
TAPTANY	toptani
BAKAR	bacar
AYS	ice
KRVM	crom
GABA	gaba
MANGAN	mangan
MANYSKAS	maniskas
ALFVRD	alford
BRVHL	brohl
KARLTVN	carlton
MARGVLYVKS	margulieux
HYLSVN	hilson
DANLVP	dunlap
NADVLNY	nadolny
ALMKVAST	elmquist
TVDAR	tudor
TATSVRV	tatsuro
BYTZ	bitz
TRYM	trim
RANA	rana
KVANRADVS	coenradus
SYMS	sims
GYVVN	givon
ANASTASYA	anastacia
SVHAS	suhas
BARVNYA	baronia
AYNGMAR	ingemar
VALVR	valur
BVSTRAM	bostrom
LYNKVYS	linkous
HALTVN	holton
ASKYLS	skiles
BAKYR	baqir
VASYK	wasik
MARGVLYVKS	margulieux
PARSVNZ	parsons
KYSLV	kislo
AVHALVRAN	ohalloran
KVKAL	kokal
AMYTAVA	amitava
ASTRVK	strock
BRAM	bram
ASNV	snow
ANANT	anant
MVRYTA	morita
NAHAM	nahum
AYLVARD	aylward
PAKALA	pakala
KVRL	corl
AYSTYN	istian
MYSYK	misik
DVRAND	durand
FYRMA	firma
MARKVS	marcos
AVKRAYN	ukraine
DANYLV	danilo
PVLV	polo
GVH	goh
SARNA	sarna
HASAKAH	hasakah
SAVLZ	sauls
ASTRYAN	stroyan
SYLVAN	sylvan
LVRD	lord
FARAT	furat
ZAHYD	zahid
JVAB	joab
RADRAMVNY	rudramuni
RADAK	radek
JAYAN	jayan
VARMA	varma
KARYAGA	cariaga
DRVDYS	drudis
SYMYNG	siming
HARTAG	hartog
DVYNYNG	duening
TAY	tye
DYMA	dema
KAKY	kaki
BANTYNG	bunting
DRYV	drew
ANAND	anand
ANTRYKYN	entrikin
DYVAYN	devine
MAR	mar
ALF	elf
DVALYBAY	dowaliby
VANSY	vance
FVRJY	forgy
LAHYJ	lahij
ASLNGZVALD	slangsvold
JYVRDANV	giordano
HVRKAN	horkan
BABA	baba
MANV	muno
RVSANA	rosana
SYMVNA	simona
AVKRAYN	ukraine
TRAFTVN	trafton
BAVA	bawa
RVAY	ruey
HAMPTVN	hampton
KVAYNTVN	quainton
TVVYS	twiss
MANSYL	munsil
PRAM	pram
JYN	jin
DJAMYLA	djamila
JANKYNSVN	jenkinson
BADYG	budig
KVAST	kwast
ATKA	atka
GRAD	grad
GALV	galo
ZAYNAH	zaynah
VYDAL	vidal
GVDRAN	gudrun
ASKRYBLYNG	scribbling
DAG	dog
BALYN	balin
KVRDYK	kordic
'DYL	adil
BVDLA	bodla
MVNS	muns
BRAYS	bryce
MANYKS	mannix
'AYMN	ayman
LVK	luk
NAV	nau
AGVYRV	aguero
LYLA	lila
KALPYN	culpin
LKS	lax
KATVPYS	katopis
ASNYL	snail
NAJYA	najya
LVJYK	logic
JASTJH	justje
KVYN	kuin
MATAR	matar
DABYNZ	dobyns
MYKAYYLYZ	michaelis
GVANYAV	guanyao
GYVVN	givon
TAPTANY	toptani
SYR	cyr
KVYNT	quint
ABDVN	ebdon
JANG	jung
AYTCVN	itchon
NANSY	nancy
SVBHANDV	subhendu
ALTMAN	altman
MABANAG	mabanag
KVANG	kwang
HAFS	hafs
ASKV	osku
YVK	yok
GAYVN	gawne
AYNGRM	ingram
SANZBVRN	sansburn
JASTJH	justje
SYNKLAYR	sinclair
TAPYV	tapio
KNVFYNKH	knufinke
PYVRYNTN	purinton
TVRKV	turco
BARTA	barta
ALKYNGTVN	elkington
LAPVTA	laputa
JARBVT	jarbot
SVHA	soha
MARVAHA	marwaha
MARTYNZ	martens
'LYMA	alima
LANDYS	landis
MYLARA	melara
MABANAG	mabanag
RADHYKA	radhika
DYMA	dema
