PVYV	pouw
HVAR	hoar
TVNG	tung
GYNTVN	ginton
ALMAR	elmar
DYTVTALA	ditutala
HAPKRAFT	hopcraft
SAKARY	sakari
ADMVNDZ	edmonds
MYNARYK	minarik
VYLKYNSVN	wilkinson
VVJAK	vojak
PVGVSYAN	pogosyan
KVYYTZ	kewitz
PAKS	paks
AVRFYVS	orpheus
MADYS	madis
MATLV	mutlu
KAMHVLZ	kamholz
SYMVNH	simone
ASTFANV	stefano
GRASKYN	gruskin
PLATFVRM	platform
YYKA	yeka
VYMPJH	wimpje
LAZARD	lazard
MARSTVN	marston
KRH	kre
ANGLAND	englund
BRYTV	brito
KLATZ	klotz
MAY	may
VARTY	varty
BYG	big
HARYNKAR	harincar
HVRST	horst
AYBYRVNK	ibironke
LANGV	lungu
KLAG	klug
AYZAK	isacq
BAGZ	bugs
MKKAVN	mccown
AKYLAH	akilah
KANAK	kanak
JAG	jog
PANYKV	panico
ASKV	osku
BASTARD	bastard
KAYRD	caird
BARKAY	barkai
GARYTV	garito
YVNGSAP	yongsup
DYAB	diab
AYSY	ayse
JAN	jun
KYNGFAY	kingfai
MAYRS	myers
AYNAYN	inauen
VYTV	vito
BARVN	baron
PLASTYNV	plastino
ASTYVN	steven
GRAYSLDYZ	griseldis
HARDYN	hardin
HYTSVN	hitson
BYLYNGASLAY	billingsley
HAMPTVN	hampton
KAV	kao
KVANG	kwang
VYLYNGZ	willing
BVYRKVYL	boerkoel
TAMARA	tomura
SVNJA	sonja
TVRMALA	tormala
ATV	oto
SVBHANDV	subhendu
LVPATKYN	lupatkin
TRAVN	trown
MYLVS	milos
KALMAN	kalman
PYNKY	pinky
BALTAYS	baltais
ASVALD	oswald
KVYYNLN	quinlan
SAVLZ	sauls
KAMHVLZ	kamholz
HARTAG	hartog
BASYN	basin
AMYVT	amiot
JAYANT	jayant
RANA	rana
KYVSMATV	kusumoto
'LYA	alya
DVRAPT	durupt
AYSTMAS	isthmus
BANGARTZ	bongarts
ALKS	alex
AYVSV	ayuso
ANTVNY	antony
TAMAY	tamai
HYVNGAN	hiongun
MARAZAS	marazas
