AACTAY	mackay
AALTJ	aaltje
AAMYNA	aamina
AARVN	aaron
ABA	aba
ABAD	abad
ABADA	abad
ABADHBY	abudhabi
ABAJA	abuja
ABAR	aabar
ABCR	abcher
ABDJA	abidjan
ABDLRHMAN	abdalrahman
ABDVN	labdon
ABH	abhay
ABHAY	abhay
ABHY	abhay
ABLA	abella
ABL	abel
ABL	abel
ABLH	able
ABLHYD	abhay
ABLJ	abeltje
ABLT	ablett
ABLTJ	abeltje
ABLY	abley
ABLYSN	allyson
ABND	abend
ABNR	abner
'ABR	aabar
ABR	aabar
ABRAHAM	abraham
ABRAHYM	abraham
ABRAHYM	abraham
ABRAM	abram
ABRAMSVN	abramson
ABRAPT	abrupt
ABRAYT	brays
ABRBAC	eberbach
ABRG	aberg
ABRG	aberg
ABRKRVMBY	barraby
ABRL	cabral
ABRLY	abery
ABRMSKY	obremski
ABRT	albert
ABRT	albert
ABRVTR	brater
ABRY	abery
ABRY	abery
ABRYN	bryn
ABRYNY	bryony
ABSTGARTN	obstgarten
ABST	pabst
ABSTRKT	abstract
ABT	rabat
ABTYN	abyan
ABV	abel
ABVBA	aboba
ABVDBY	abby
ABVDHABY	abudhabi
ABVHBYB	abhay
ABVLYN	allyn
ABVRYMH	abrams
ABVT	ablett
ABVT	ablett
ABVTSMYT	abbotsmith
ABYA	abyan
ABYAB	abyan
ABY	raby
ABY	raby
ABYAD	abyan
ABYAN	abyan
ABYD	byrd
ABY	raby
ABYL	sibyl
ABYLAK	abyan
ABYNA	abyan
ABYNGM	byung
ABYNGN	bynon
ACDL	acadia
AC	ac
ACR	macra
ACRNAR	achernar
ACTY	lacy
ACTYH	macbeth
ACY	lacy
ACYLS	lacys
ACYSVN	alyson
ACYT	lacys
ADAB	adab
ADAM	adam
ADAMV	adam
ADANA	adana
ADAN	adan
ADANL	adan
ADARA	adhara
ADB	adab
ADBRG	sandberg
ADGRYNGLND	adgeringelant
ADGRYNGLNT	adgeringelant
ADGYNGTVN	edgington
ADH	radha
ADKAK	adisak
ADKK	adik
ADKRYK	masaryk
ADKVK	adik
ADKYNZ	adkins
ADKYRK	dunkirk
ADLA	adela
'ADL	adel
ADL	adel
ADLARDV	adelardo
ADLAYD	adelaide
ADLAYD	adelaide
ADLHYD	adelheid
ADLMA	adalma
ADL	adel
ADLR	adler
ADLSVN	adelson
ADLY	ardley
ADMVND	demavend
ADMVNDS	demavends
ADMVNDZ	demavends
ADMVNZ	advent
ADMYRALN	admiralen
ADMYRALZ	admirals
ADMYSTVN	edmiston
ADNAMS	adnams
ADNAMZ	adnams
ADNBRAG	brandenburg
ADNBRG	brandenburg
ADNBRV	anbar
ADNBRVG	brandenburg
ADNBVRG	brandenburg
ADRY	badry
ADRY	badry
ADRYANA	adriana
ADRYAN	aryan
ADRYANS	aryans
ADRYN	aryan
ADRYNKLNT	adgeringelant
ADRYNS	aryans
ADRYNY	bryony
ADRYNY	bryony
ADRYS	landrys
ADSAL	edsall
ADST	adsett
ADSVN	advent
ADT	adit
ADVARD	edvard
ADVARD	edvard
ADVARDSN	vardan
ADVART	adars
ADVLF	adolf
ADVLFSVN	adolfsson
ADVLF	adolf
ADVNCR	adventure
ADVNL	advil
ADVNYS	advents
ADVSVMALY	adusumalli
ADVVART	vandivort
ADY	eady
ADY	eady
ADY	eady
ADY	eady
ADY	eady
ADYH	radeyah
ADYK	vandyke
ADYKS	dykes
'ADYL	eady
ADYL	adil
ADYLRD	aylward
ADYNA	dyna
ADYNGTVN	addington
ADYNGTVN	addington
ADYS	andys
ADYSAK	adisak
ADYSVN	dyson
ADYT	adit
AFA	afa
AFAF	afaf
AFRA	afra
AFRDYT	fridays
AFRVDYT	fridays
AFTAB	aftab
AFV	afa
AFVRYL	avery
AFYCART	cathcart
AFYF	afif
AFYGTN	afghan
AFYNGTN	alington
AFYS	amys
AFYSR	kayser
AFYVN	kayvon
AFZAL	afzal
AFZL	afzal
AGALY	baggarly
AGAS	agass
AGATY	sagady
AGBRN	pangborn
AGBVRN	pangborn
AG	ag
AGLSTVN	agustin
AGMN	hageman
AGMVZ	ragatz
AGNDY	andy
AGNV	agni
AGNVYK	tanganyika
AGPYAN	agopian
AGR	agra
AGRAVALA	agrawala
AGRN	agren
AGRTN	agren
AGRTVN	agren
AGRYNGLANT	adgeringelant
AGRYNGLND	adgeringelant
AGVLV	agali
AGVR	agra
AGVSTV	agustin
