inst#,actual,predicted,error,prediction
1,1:?,3:neutral,,0.987
2,1:?,1:positive,,1
3,1:?,2:negative,,1
4,1:?,3:neutral,,0.993
5,1:?,3:neutral,,0.993
6,1:?,3:neutral,,0.976
7,1:?,3:neutral,,0.976
8,1:?,1:positive,,1
9,1:?,3:neutral,,0.976
10,1:?,3:neutral,,0.976
11,1:?,3:neutral,,0.995
12,1:?,3:neutral,,0.993
13,1:?,3:neutral,,0.976
14,1:?,1:positive,,1
15,1:?,3:neutral,,0.988
16,1:?,3:neutral,,0.978
17,1:?,3:neutral,,0.996
18,1:?,3:neutral,,0.988
19,1:?,3:neutral,,0.976
20,1:?,1:positive,,0.965
21,1:?,3:neutral,,0.976
22,1:?,3:neutral,,0.993
23,1:?,3:neutral,,0.986
24,1:?,3:neutral,,0.995
25,1:?,1:positive,,0.64
26,1:?,3:neutral,,0.993
27,1:?,3:neutral,,0.995
28,1:?,3:neutral,,0.976
29,1:?,1:positive,,1
30,1:?,3:neutral,,0.976
31,1:?,3:neutral,,0.993
32,1:?,3:neutral,,0.993
33,1:?,3:neutral,,0.993
34,1:?,3:neutral,,0.986
35,1:?,3:neutral,,1
36,1:?,3:neutral,,0.993
37,1:?,3:neutral,,0.995
38,1:?,3:neutral,,0.993
39,1:?,3:neutral,,0.976
40,1:?,3:neutral,,0.993
41,1:?,3:neutral,,0.993
42,1:?,3:neutral,,0.978
43,1:?,3:neutral,,0.976
44,1:?,3:neutral,,1
45,1:?,3:neutral,,0.976
46,1:?,1:positive,,1
47,1:?,3:neutral,,0.645
48,1:?,3:neutral,,0.993
49,1:?,3:neutral,,0.978
50,1:?,1:positive,,1
51,1:?,3:neutral,,0.976
52,1:?,3:neutral,,0.993
53,1:?,3:neutral,,0.976
54,1:?,3:neutral,,0.976
55,1:?,3:neutral,,0.976
56,1:?,3:neutral,,0.993
57,1:?,3:neutral,,0.976
58,1:?,3:neutral,,0.976
59,1:?,3:neutral,,0.986
60,1:?,3:neutral,,0.976
61,1:?,3:neutral,,0.986
62,1:?,3:neutral,,0.986
63,1:?,3:neutral,,0.988
64,1:?,3:neutral,,0.995
65,1:?,1:positive,,1
66,1:?,3:neutral,,0.997
67,1:?,3:neutral,,0.976
68,1:?,3:neutral,,0.976
69,1:?,3:neutral,,0.943
70,1:?,3:neutral,,0.943
71,1:?,3:neutral,,0.993
72,1:?,1:positive,,1
73,1:?,3:neutral,,0.993
74,1:?,2:negative,,1
75,1:?,3:neutral,,0.988
76,1:?,3:neutral,,0.995
77,1:?,3:neutral,,0.976
78,1:?,3:neutral,,0.976
79,1:?,1:positive,,1
80,1:?,3:neutral,,0.978
81,1:?,2:negative,,1
82,1:?,3:neutral,,0.976
83,1:?,3:neutral,,0.995
84,1:?,3:neutral,,0.977
85,1:?,3:neutral,,0.663
