inst#,actual,predicted,error,prediction
1,1:?,3:neutral,,0.56
2,1:?,1:positive,,0.682
3,1:?,2:negative,,0.802
4,1:?,3:neutral,,0.56
5,1:?,3:neutral,,0.56
6,1:?,3:neutral,,0.56
7,1:?,3:neutral,,0.56
8,1:?,1:positive,,0.602
9,1:?,3:neutral,,0.56
10,1:?,3:neutral,,0.56
11,1:?,3:neutral,,0.56
12,1:?,3:neutral,,0.56
13,1:?,3:neutral,,0.56
14,1:?,1:positive,,0.693
15,1:?,3:neutral,,0.56
16,1:?,3:neutral,,0.56
17,1:?,3:neutral,,0.56
18,1:?,3:neutral,,0.56
19,1:?,3:neutral,,0.56
20,1:?,3:neutral,,0.521
21,1:?,3:neutral,,0.56
22,1:?,3:neutral,,0.56
23,1:?,3:neutral,,0.56
24,1:?,3:neutral,,0.56
25,1:?,3:neutral,,0.56
26,1:?,3:neutral,,0.56
27,1:?,3:neutral,,0.56
28,1:?,3:neutral,,0.56
29,1:?,1:positive,,0.755
30,1:?,3:neutral,,0.56
31,1:?,3:neutral,,0.56
32,1:?,3:neutral,,0.56
33,1:?,3:neutral,,0.56
34,1:?,3:neutral,,0.56
35,1:?,3:neutral,,0.56
36,1:?,3:neutral,,0.56
37,1:?,3:neutral,,0.56
38,1:?,3:neutral,,0.56
39,1:?,3:neutral,,0.56
40,1:?,3:neutral,,0.56
41,1:?,3:neutral,,0.56
42,1:?,3:neutral,,0.56
43,1:?,3:neutral,,0.56
44,1:?,3:neutral,,0.56
45,1:?,3:neutral,,0.56
46,1:?,1:positive,,0.963
47,1:?,3:neutral,,0.56
48,1:?,3:neutral,,0.56
49,1:?,3:neutral,,0.56
50,1:?,3:neutral,,0.56
51,1:?,3:neutral,,0.56
52,1:?,3:neutral,,0.56
53,1:?,3:neutral,,0.56
54,1:?,3:neutral,,0.56
55,1:?,3:neutral,,0.56
56,1:?,3:neutral,,0.56
57,1:?,3:neutral,,0.56
58,1:?,3:neutral,,0.56
59,1:?,3:neutral,,0.56
60,1:?,3:neutral,,0.56
61,1:?,3:neutral,,0.56
62,1:?,3:neutral,,0.56
63,1:?,3:neutral,,0.56
64,1:?,3:neutral,,0.56
65,1:?,1:positive,,0.561
66,1:?,3:neutral,,0.56
67,1:?,3:neutral,,0.56
68,1:?,3:neutral,,0.56
69,1:?,3:neutral,,0.56
70,1:?,3:neutral,,0.56
71,1:?,3:neutral,,0.56
72,1:?,1:positive,,0.561
73,1:?,3:neutral,,0.56
74,1:?,2:negative,,0.511
