inst#,actual,predicted,error,prediction
1,1:?,3:neutral,,0.605
2,1:?,1:positive,,0.755
3,1:?,3:neutral,,0.529
4,1:?,3:neutral,,0.569
5,1:?,3:neutral,,0.569
6,1:?,3:neutral,,0.556
7,1:?,3:neutral,,0.557
8,1:?,1:positive,,0.993
9,1:?,3:neutral,,0.557
10,1:?,3:neutral,,0.556
11,1:?,3:neutral,,0.624
12,1:?,3:neutral,,0.567
13,1:?,3:neutral,,0.556
14,1:?,1:positive,,0.943
15,1:?,3:neutral,,0.572
16,1:?,3:neutral,,0.558
17,1:?,3:neutral,,0.584
18,1:?,3:neutral,,0.572
19,1:?,3:neutral,,0.556
20,1:?,1:positive,,0.808
21,1:?,3:neutral,,0.556
22,1:?,3:neutral,,0.569
23,1:?,3:neutral,,0.614
24,1:?,3:neutral,,0.585
25,1:?,1:positive,,0.708
26,1:?,3:neutral,,0.569
27,1:?,3:neutral,,0.596
28,1:?,3:neutral,,0.556
29,1:?,1:positive,,0.77
30,1:?,3:neutral,,0.556
31,1:?,3:neutral,,0.569
32,1:?,3:neutral,,0.57
33,1:?,3:neutral,,0.569
34,1:?,3:neutral,,0.612
35,1:?,2:negative,,0.522
36,1:?,3:neutral,,0.569
37,1:?,3:neutral,,0.621
38,1:?,3:neutral,,0.567
39,1:?,3:neutral,,0.556
40,1:?,3:neutral,,0.569
41,1:?,3:neutral,,0.569
42,1:?,3:neutral,,0.559
43,1:?,3:neutral,,0.556
44,1:?,3:neutral,,0.586
45,1:?,3:neutral,,0.556
46,1:?,1:positive,,0.574
47,1:?,2:negative,,0.972
48,1:?,3:neutral,,0.569
49,1:?,3:neutral,,0.558
50,1:?,1:positive,,1
51,1:?,3:neutral,,0.556
52,1:?,3:neutral,,0.569
53,1:?,3:neutral,,0.556
54,1:?,3:neutral,,0.556
55,1:?,3:neutral,,0.556
56,1:?,3:neutral,,0.569
57,1:?,3:neutral,,0.556
58,1:?,3:neutral,,0.556
59,1:?,3:neutral,,0.613
60,1:?,3:neutral,,0.556
61,1:?,3:neutral,,0.613
62,1:?,3:neutral,,0.612
63,1:?,3:neutral,,0.572
64,1:?,3:neutral,,0.59
65,1:?,3:neutral,,0.437
66,1:?,2:negative,,0.487
67,1:?,3:neutral,,0.557
68,1:?,3:neutral,,0.556
69,1:?,2:negative,,0.873
70,1:?,2:negative,,0.873
71,1:?,3:neutral,,0.567
72,1:?,1:positive,,0.819
73,1:?,3:neutral,,0.567
74,1:?,3:neutral,,0.585
75,1:?,3:neutral,,0.572
76,1:?,3:neutral,,0.617
77,1:?,3:neutral,,0.556
78,1:?,3:neutral,,0.556
79,1:?,1:positive,,0.985
80,1:?,3:neutral,,0.558
81,1:?,2:negative,,0.594
82,1:?,3:neutral,,0.556
83,1:?,3:neutral,,0.617
84,1:?,3:neutral,,0.557
85,1:?,3:neutral,,0.388
86,1:?,3:neutral,,0.569
87,1:?,3:neutral,,0.569
88,1:?,3:neutral,,0.569
89,1:?,3:neutral,,0.567
90,1:?,3:neutral,,0.628
91,1:?,2:negative,,0.623
92,1:?,2:negative,,0.872
93,1:?,3:neutral,,0.612
94,1:?,1:positive,,0.822
95,1:?,3:neutral,,0.589
96,1:?,3:neutral,,0.613
97,1:?,3:neutral,,0.611
98,1:?,3:neutral,,0.569
99,1:?,3:neutral,,0.569
100,1:?,3:neutral,,0.556
101,1:?,2:negative,,0.522
102,1:?,3:neutral,,0.556
103,1:?,3:neutral,,0.619
104,1:?,3:neutral,,0.615
105,1:?,3:neutral,,0.57
106,1:?,1:positive,,0.54
107,1:?,1:positive,,0.854
108,1:?,3:neutral,,0.569
109,1:?,3:neutral,,0.615
110,1:?,2:negative,,0.837
111,1:?,3:neutral,,0.556
112,1:?,3:neutral,,0.586
113,1:?,2:negative,,0.585
114,1:?,1:positive,,0.897
115,1:?,1:positive,,0.972
116,1:?,3:neutral,,0.569
117,1:?,3:neutral,,0.612
118,1:?,3:neutral,,0.626
119,1:?,2:negative,,0.873
120,1:?,2:negative,,0.654
121,1:?,1:positive,,0.925
122,1:?,3:neutral,,0.569
123,1:?,3:neutral,,0.556
124,1:?,1:positive,,0.797
125,1:?,2:negative,,0.727
126,1:?,3:neutral,,0.612
127,1:?,1:positive,,0.545
128,1:?,1:positive,,0.881
129,1:?,3:neutral,,0.612
130,1:?,3:neutral,,0.615
131,1:?,3:neutral,,0.612
132,1:?,3:neutral,,0.572
133,1:?,3:neutral,,0.556
134,1:?,3:neutral,,0.615
135,1:?,1:positive,,0.49
136,1:?,1:positive,,0.679
137,1:?,3:neutral,,0.556
138,1:?,3:neutral,,0.556
139,1:?,1:positive,,0.824
140,1:?,3:neutral,,0.557
141,1:?,3:neutral,,0.556
142,1:?,1:positive,,0.705
143,1:?,3:neutral,,0.495
144,1:?,3:neutral,,0.556
145,1:?,3:neutral,,0.559
146,1:?,3:neutral,,0.569
147,1:?,3:neutral,,0.569
148,1:?,1:positive,,0.966
149,1:?,3:neutral,,0.567
150,1:?,3:neutral,,0.614
151,1:?,1:positive,,0.71
152,1:?,3:neutral,,0.572
153,1:?,3:neutral,,0.556
154,1:?,3:neutral,,0.556
155,1:?,3:neutral,,0.386
156,1:?,3:neutral,,0.615
157,1:?,3:neutral,,0.615
158,1:?,3:neutral,,0.587
159,1:?,3:neutral,,0.556
160,1:?,2:negative,,0.527
161,1:?,3:neutral,,0.572
162,1:?,3:neutral,,0.557
163,1:?,3:neutral,,0.567
164,1:?,3:neutral,,0.557
165,1:?,3:neutral,,0.543
166,1:?,3:neutral,,0.615
167,1:?,2:negative,,0.936
168,1:?,2:negative,,0.487
169,1:?,3:neutral,,0.616
170,1:?,3:neutral,,0.586
171,1:?,3:neutral,,0.615
172,1:?,3:neutral,,0.605
173,1:?,3:neutral,,0.558
174,1:?,3:neutral,,0.569
175,1:?,3:neutral,,0.607
176,1:?,3:neutral,,0.556
177,1:?,3:neutral,,0.495
178,1:?,3:neutral,,0.556
179,1:?,3:neutral,,0.556
180,1:?,3:neutral,,0.515
181,1:?,3:neutral,,0.567
182,1:?,1:positive,,1
183,1:?,1:positive,,0.661
184,1:?,3:neutral,,0.572
185,1:?,1:positive,,0.709
186,1:?,2:negative,,0.674
187,1:?,2:negative,,0.839
188,1:?,1:positive,,0.469
189,1:?,1:positive,,0.686
190,1:?,3:neutral,,0.556
191,1:?,1:positive,,0.759
192,1:?,3:neutral,,0.556
193,1:?,3:neutral,,0.613
194,1:?,3:neutral,,0.556
195,1:?,1:positive,,0.756
196,1:?,3:neutral,,0.57
197,1:?,2:negative,,0.839
198,1:?,3:neutral,,0.569
199,1:?,3:neutral,,0.556
200,1:?,3:neutral,,0.572
201,1:?,3:neutral,,0.571
202,1:?,1:positive,,0.706
203,1:?,3:neutral,,0.625
204,1:?,2:negative,,0.902
205,1:?,3:neutral,,0.557
206,1:?,1:positive,,0.498
207,1:?,3:neutral,,0.559
208,1:?,3:neutral,,0.612
209,1:?,3:neutral,,0.567
210,1:?,1:positive,,0.985
211,1:?,3:neutral,,0.569
212,1:?,3:neutral,,0.612
213,1:?,3:neutral,,0.614
214,1:?,2:negative,,0.839
215,1:?,3:neutral,,0.569
216,1:?,3:neutral,,0.567
217,1:?,3:neutral,,0.616
218,1:?,3:neutral,,0.569
219,1:?,2:negative,,0.872
220,1:?,3:neutral,,0.553
221,1:?,1:positive,,1
222,1:?,1:positive,,0.878
223,1:?,3:neutral,,0.597
224,1:?,1:positive,,0.562
225,1:?,1:positive,,0.93
226,1:?,2:negative,,0.928
227,1:?,2:negative,,0.612
228,1:?,3:neutral,,0.613
229,1:?,3:neutral,,0.569
230,1:?,1:positive,,0.969
231,1:?,1:positive,,0.833
232,1:?,3:neutral,,0.419
233,1:?,3:neutral,,0.556
234,1:?,1:positive,,0.678
235,1:?,3:neutral,,0.584
236,1:?,1:positive,,0.88
237,1:?,3:neutral,,0.569
238,1:?,2:negative,,0.45
239,1:?,3:neutral,,0.558
240,1:?,3:neutral,,0.556
241,1:?,3:neutral,,0.556
242,1:?,3:neutral,,0.556
243,1:?,3:neutral,,0.556
244,1:?,3:neutral,,0.571
245,1:?,3:neutral,,0.569
246,1:?,2:negative,,0.839
247,1:?,1:positive,,0.972
248,1:?,3:neutral,,0.462
249,1:?,3:neutral,,0.567
250,1:?,2:negative,,0.423
251,1:?,3:neutral,,0.567
252,1:?,3:neutral,,0.569
253,1:?,3:neutral,,0.557
254,1:?,3:neutral,,0.572
255,1:?,3:neutral,,0.556
256,1:?,3:neutral,,0.521
257,1:?,2:negative,,0.527
258,1:?,2:negative,,0.486
259,1:?,3:neutral,,0.558
260,1:?,3:neutral,,0.613
261,1:?,3:neutral,,0.618
262,1:?,3:neutral,,0.572
263,1:?,3:neutral,,0.494
264,1:?,3:neutral,,0.515
265,1:?,3:neutral,,0.597
266,1:?,3:neutral,,0.572
267,1:?,3:neutral,,0.474
268,1:?,2:negative,,0.941
269,1:?,1:positive,,0.486
270,1:?,1:positive,,0.933
271,1:?,3:neutral,,0.428
272,1:?,3:neutral,,0.556
273,1:?,3:neutral,,0.548
274,1:?,3:neutral,,0.516
275,1:?,3:neutral,,0.556
276,1:?,3:neutral,,0.556
277,1:?,1:positive,,0.77
278,1:?,1:positive,,0.664
279,1:?,3:neutral,,0.556
280,1:?,3:neutral,,0.557
281,1:?,3:neutral,,0.556
282,1:?,3:neutral,,0.541
283,1:?,3:neutral,,0.572
284,1:?,2:negative,,0.528
285,1:?,3:neutral,,0.632
286,1:?,1:positive,,0.553
287,1:?,3:neutral,,0.572
288,1:?,3:neutral,,0.572
289,1:?,1:positive,,0.797
290,1:?,3:neutral,,0.524
291,1:?,3:neutral,,0.557
292,1:?,3:neutral,,0.613
293,1:?,1:positive,,0.643
294,1:?,3:neutral,,0.556
295,1:?,1:positive,,0.501
296,1:?,3:neutral,,0.57
297,1:?,1:positive,,0.88
298,1:?,2:negative,,0.873
299,1:?,3:neutral,,0.517
300,1:?,3:neutral,,0.612
301,1:?,3:neutral,,0.556
302,1:?,3:neutral,,0.614
303,1:?,1:positive,,0.663
304,1:?,3:neutral,,0.614
305,1:?,2:negative,,0.585
306,1:?,3:neutral,,0.588
307,1:?,3:neutral,,0.569
308,1:?,3:neutral,,0.615
309,1:?,3:neutral,,0.571
310,1:?,3:neutral,,0.57
311,1:?,3:neutral,,0.612
312,1:?,3:neutral,,0.612
313,1:?,3:neutral,,0.569
314,1:?,1:positive,,0.821
315,1:?,3:neutral,,0.556
316,1:?,3:neutral,,0.572
317,1:?,3:neutral,,0.571
318,1:?,3:neutral,,0.556
319,1:?,3:neutral,,0.556
320,1:?,3:neutral,,0.558
321,1:?,3:neutral,,0.556
322,1:?,3:neutral,,0.614
323,1:?,3:neutral,,0.557
324,1:?,1:positive,,0.929
325,1:?,3:neutral,,0.567
326,1:?,3:neutral,,0.572
327,1:?,3:neutral,,0.556
328,1:?,2:negative,,0.972
329,1:?,3:neutral,,0.495
330,1:?,3:neutral,,0.584
331,1:?,3:neutral,,0.556
332,1:?,3:neutral,,0.559
333,1:?,3:neutral,,0.556
334,1:?,2:negative,,0.487
335,1:?,3:neutral,,0.569
336,1:?,3:neutral,,0.612
337,1:?,3:neutral,,0.556
338,1:?,1:positive,,0.493
339,1:?,1:positive,,0.96
340,1:?,3:neutral,,0.605
341,1:?,3:neutral,,0.567
342,1:?,3:neutral,,0.51
343,1:?,3:neutral,,0.556
344,1:?,3:neutral,,0.569
345,1:?,3:neutral,,0.605
346,1:?,2:negative,,0.839
347,1:?,1:positive,,0.594
348,1:?,3:neutral,,0.592
349,1:?,1:positive,,1
350,1:?,3:neutral,,0.558
351,1:?,1:positive,,0.88
352,1:?,3:neutral,,0.615
353,1:?,3:neutral,,0.557
354,1:?,3:neutral,,0.559
355,1:?,3:neutral,,0.556
356,1:?,3:neutral,,0.621
357,1:?,3:neutral,,0.569
358,1:?,3:neutral,,0.612
359,1:?,3:neutral,,0.604
360,1:?,3:neutral,,0.626
361,1:?,3:neutral,,0.556
362,1:?,3:neutral,,0.522
363,1:?,3:neutral,,0.557
364,1:?,1:positive,,0.666
365,1:?,3:neutral,,0.572
366,1:?,3:neutral,,0.569
367,1:?,3:neutral,,0.558
368,1:?,1:positive,,0.929
369,1:?,3:neutral,,0.572
370,1:?,3:neutral,,0.569
371,1:?,3:neutral,,0.526
372,1:?,3:neutral,,0.556
373,1:?,1:positive,,0.823
374,1:?,1:positive,,0.678
375,1:?,3:neutral,,0.586
376,1:?,1:positive,,0.854
377,1:?,3:neutral,,0.571
378,1:?,3:neutral,,0.584
379,1:?,1:positive,,0.971
380,1:?,3:neutral,,0.633
381,1:?,3:neutral,,0.604
382,1:?,3:neutral,,0.569
383,1:?,3:neutral,,0.548
384,1:?,3:neutral,,0.569
385,1:?,1:positive,,0.903
386,1:?,3:neutral,,0.623
387,1:?,1:positive,,0.775
388,1:?,3:neutral,,0.558
389,1:?,3:neutral,,0.556
390,1:?,3:neutral,,0.614
391,1:?,1:positive,,0.705
392,1:?,2:negative,,0.487
393,1:?,3:neutral,,0.556
394,1:?,3:neutral,,0.569
395,1:?,3:neutral,,0.556
396,1:?,3:neutral,,0.386
397,1:?,3:neutral,,0.556
398,1:?,3:neutral,,0.587
399,1:?,3:neutral,,0.556
400,1:?,3:neutral,,0.622
401,1:?,3:neutral,,0.569
402,1:?,3:neutral,,0.427
403,1:?,3:neutral,,0.557
404,1:?,3:neutral,,0.495
405,1:?,3:neutral,,0.567
406,1:?,3:neutral,,0.517
407,1:?,3:neutral,,0.546
408,1:?,3:neutral,,0.382
409,1:?,3:neutral,,0.557
410,1:?,3:neutral,,0.571
411,1:?,3:neutral,,0.604
412,1:?,3:neutral,,0.612
413,1:?,3:neutral,,0.614
414,1:?,3:neutral,,0.628
415,1:?,3:neutral,,0.556
416,1:?,1:positive,,0.497
417,1:?,3:neutral,,0.556
418,1:?,3:neutral,,0.604
419,1:?,3:neutral,,0.572
420,1:?,3:neutral,,0.587
421,1:?,3:neutral,,0.569
422,1:?,3:neutral,,0.556
423,1:?,2:negative,,0.487
424,1:?,3:neutral,,0.569
425,1:?,3:neutral,,0.572
426,1:?,1:positive,,0.821
427,1:?,1:positive,,0.532
428,1:?,3:neutral,,0.607
429,1:?,3:neutral,,0.569
430,1:?,3:neutral,,0.569
431,1:?,1:positive,,0.478
432,1:?,3:neutral,,0.517
433,1:?,3:neutral,,0.556
434,1:?,3:neutral,,0.556
435,1:?,3:neutral,,0.557
436,1:?,3:neutral,,0.557
437,1:?,3:neutral,,0.548
438,1:?,3:neutral,,0.558
439,1:?,3:neutral,,0.559
440,1:?,3:neutral,,0.572
441,1:?,3:neutral,,0.551
442,1:?,3:neutral,,0.569
443,1:?,3:neutral,,0.569
444,1:?,3:neutral,,0.614
445,1:?,3:neutral,,0.569
446,1:?,1:positive,,0.933
447,1:?,3:neutral,,0.556
448,1:?,1:positive,,0.712
449,1:?,1:positive,,0.709
450,1:?,3:neutral,,0.556
451,1:?,3:neutral,,0.569
452,1:?,3:neutral,,0.557
453,1:?,1:positive,,0.707
454,1:?,3:neutral,,0.544
455,1:?,1:positive,,0.929
456,1:?,3:neutral,,0.556
457,1:?,3:neutral,,0.556
458,1:?,3:neutral,,0.556
459,1:?,3:neutral,,0.605
460,1:?,3:neutral,,0.567
461,1:?,3:neutral,,0.588
462,1:?,1:positive,,0.459
463,1:?,3:neutral,,0.556
464,1:?,3:neutral,,0.569
465,1:?,3:neutral,,0.556
